h_km,v_rel_m_s,d_cloud_cm,beta,beta_case,eps,dv_required_m_s,m_launch_g,m_incident_mg,Es_bulk_kJ_kg,Es_per_grain_J_kg,per_grain_frac_of_threshold,subcatastrophic,subcat_worst_threshold,N_grains,N_on_target,cost_Re_usd,cost_W_usd
900,1000,10,1.5,v5 nominal,0.0295119,51.8065,3.30893,97.6529,34.5377,354.544,0.00886359,True,False,3300.85,97.4144,34.0257,10.2577
1000,400,2,1.06292,INT-2 central,0.527116,50.7437,0.640191,337.455,19.096,56.727,0.00141817,True,True,638.627,336.63,6.58308,1.98459
1000,400,2,1.05499,INT-2 low,0.527116,50.7437,0.645004,339.992,19.2396,56.727,0.00141817,True,True,643.429,339.161,6.63258,1.99951
1000,400,2,1.5,v5 nominal,0.527116,50.7437,0.453647,239.124,13.5317,56.727,0.00141817,True,True,452.539,238.54,4.66485,1.4063
1000,400,5,1.06292,INT-2 central,0.112924,50.7437,2.98833,337.455,19.096,56.727,0.00141817,True,True,2981.03,336.63,30.729,9.26383
1000,400,5,1.05499,INT-2 low,0.112924,50.7437,3.0108,339.992,19.2396,56.727,0.00141817,True,True,3003.44,339.161,30.9601,9.33348
1000,400,5,1.5,v5 nominal,0.112924,50.7437,2.11757,239.124,13.5317,56.727,0.00141817,True,True,2112.39,238.54,21.7749,6.56446
1000,400,10,1.06292,INT-2 central,0.0295119,50.7437,11.4345,337.455,19.096,56.727,0.00141817,True,True,11406.6,336.63,117.581,35.447
1000,400,10,1.05499,INT-2 low,0.0295119,50.7437,11.5205,339.992,19.2396,56.727,0.00141817,True,True,11492.3,339.161,118.465,35.7135
1000,400,10,1.5,v5 nominal,0.0295119,50.7437,8.10263,239.124,13.5317,56.727,0.00141817,True,True,8082.84,238.54,83.3193,25.1182
1000,619,2,1.20069,INT-2 central,0.527116,50.7437,0.366226,193.044,26.1604,135.847,0.00339618,True,True,365.331,192.572,3.7659,1.1353
1000,619,2,1.16951,INT-2 low,0.527116,50.7437,0.375989,198.19,26.8578,135.847,0.00339618,True,True,375.07,197.705,3.86629,1.16557
1000,619,2,1.5,v5 nominal,0.527116,50.7437,0.293148,154.523,20.9403,135.847,0.00339618,True,True,292.432,154.145,3.01444,0.908759
1000,619,5,1.20069,INT-2 central,0.112924,50.7437,1.7095,193.044,26.1604,135.847,0.00339618,True,True,1705.32,192.572,17.5788,5.29944
1000,619,5,1.16951,INT-2 low,0.112924,50.7437,1.75507,198.19,26.8578,135.847,0.00339618,True,True,1750.78,197.705,18.0474,5.44071
1000,619,5,1.5,v5 nominal,0.112924,50.7437,1.36838,154.523,20.9403,135.847,0.00339618,True,True,1365.04,154.145,14.071,4.24198
1000,619,10,1.20069,INT-2 central,0.0295119,50.7437,6.5412,193.044,26.1604,135.847,0.00339618,True,True,6525.22,192.572,67.2632,20.2777
1000,619,10,1.16951,INT-2 low,0.0295119,50.7437,6.71557,198.19,26.8578,135.847,0.00339618,True,True,6699.17,197.705,69.0562,20.8183
1000,619,10,1.5,v5 nominal,0.0295119,50.7437,5.23595,154.523,20.9403,135.847,0.00339618,True,True,5223.16,154.145,53.8413,16.2314
1000,800,2,1.292,INT-2 central,0.527116,50.7437,0.263341,138.811,31.4204,226.908,0.0056727,True,False,262.697,138.472,2.70793,0.816356
1000,800,2,1.2416,INT-2 low,0.527116,50.7437,0.27403,144.445,32.6957,226.908,0.0056727,True,False,273.36,144.092,2.81785,0.849492
1000,800,2,1.5,v5 nominal,0.527116,50.7437,0.226823,119.562,27.0633,226.908,0.0056727,True,True,226.269,119.27,2.33242,0.703152
1000,800,5,1.292,INT-2 central,0.112924,50.7437,1.22924,138.811,31.4204,226.908,0.0056727,True,False,1226.24,138.472,12.6403,3.81065
1000,800,5,1.2416,INT-2 low,0.112924,50.7437,1.27914,144.445,32.6957,226.908,0.0056727,True,False,1276.01,144.092,13.1534,3.96532
1000,800,5,1.5,v5 nominal,0.112924,50.7437,1.05878,119.562,27.0633,226.908,0.0056727,True,True,1056.2,119.27,10.8875,3.28223
1000,800,10,1.292,INT-2 central,0.0295119,50.7437,4.70355,138.811,31.4204,226.908,0.0056727,True,False,4692.06,138.472,48.3666,14.581
1000,800,10,1.2416,INT-2 low,0.0295119,50.7437,4.89447,144.445,32.6957,226.908,0.0056727,True,False,4882.51,144.092,50.3298,15.1729
1000,800,10,1.5,v5 nominal,0.0295119,50.7437,4.05131,119.562,27.0633,226.908,0.0056727,True,True,4041.42,119.27,41.6597,12.5591
1000,1000,2,1.37838,INT-2 central,0.527116,50.7437,0.19747,104.089,36.8141,354.544,0.00886359,True,False,196.987,103.835,2.03058,0.612156
1000,1000,2,1.30739,INT-2 low,0.527116,50.7437,0.208191,109.741,38.8129,354.544,0.00886359,True,False,207.683,109.473,2.14083,0.645393
1000,1000,2,1.5,v5 nominal,0.527116,50.7437,0.181459,95.6497,33.8292,354.544,0.00886359,True,False,181.015,95.4161,1.86594,0.562522
1000,1000,5,1.37838,INT-2 central,0.112924,50.7437,0.921764,104.089,36.8141,354.544,0.00886359,True,False,919.512,103.835,9.4785,2.85747
1000,1000,5,1.30739,INT-2 low,0.112924,50.7437,0.971811,109.741,38.8129,354.544,0.00886359,True,False,969.437,109.473,9.99314,3.01262
1000,1000,5,1.5,v5 nominal,0.112924,50.7437,0.847027,95.6497,33.8292,354.544,0.00886359,True,False,844.958,95.4161,8.70998,2.62578
1000,1000,10,1.37838,INT-2 central,0.0295119,50.7437,3.52702,104.089,36.8141,354.544,0.00886359,True,False,3518.41,103.835,36.2684,10.9338
1000,1000,10,1.30739,INT-2 low,0.0295119,50.7437,3.71853,109.741,38.8129,354.544,0.00886359,True,False,3709.44,109.473,38.2376,11.5274
1000,1000,10,1.5,v5 nominal,0.0295119,50.7437,3.24105,95.6497,33.8292,354.544,0.00886359,True,False,3233.13,95.4161,33.3277,10.0473
1100,400,2,1.06292,INT-2 central,0.527116,49.7169,0.627235,330.626,18.7096,56.727,0.00141817,True,True,625.703,329.818,6.44986,1.94443
1100,400,2,1.05499,INT-2 low,0.527116,49.7169,0.631951,333.111,18.8503,56.727,0.00141817,True,True,630.408,332.298,6.49836,1.95905
1100,400,2,1.5,v5 nominal,0.527116,49.7169,0.444466,234.285,13.2578,56.727,0.00141817,True,True,443.381,233.713,4.57045,1.37785
1100,400,5,1.06292,INT-2 central,0.112924,49.7169,2.92786,330.626,18.7096,56.727,0.00141817,True,True,2920.7,329.818,30.1072,9.07636
1100,400,5,1.05499,INT-2 low,0.112924,49.7169,2.94987,333.111,18.8503,56.727,0.00141817,True,True,2942.66,332.298,30.3335,9.1446
1100,400,5,1.5,v5 nominal,0.112924,49.7169,2.07471,234.285,13.2578,56.727,0.00141817,True,True,2069.65,233.713,21.3343,6.43161
1100,400,10,1.06292,INT-2 central,0.0295119,49.7169,11.2031,330.626,18.7096,56.727,0.00141817,True,True,11175.7,329.818,115.202,34.7297
1100,400,10,1.05499,INT-2 low,0.0295119,49.7169,11.2873,333.111,18.8503,56.727,0.00141817,True,True,11259.8,332.298,116.068,34.9908
1100,400,10,1.5,v5 nominal,0.0295119,49.7169,7.93866,234.285,13.2578,56.727,0.00141817,True,True,7919.26,233.713,81.6332,24.6098
1100,619,2,1.20069,INT-2 central,0.527116,49.7169,0.358815,189.137,25.631,135.847,0.00339618,True,True,357.938,188.675,3.68969,1.11233
1100,619,2,1.16951,INT-2 low,0.527116,49.7169,0.36838,194.179,26.3142,135.847,0.00339618,True,True,367.48,193.704,3.78805,1.14198
1100,619,2,1.5,v5 nominal,0.527116,49.7169,0.287216,151.396,20.5165,135.847,0.00339618,True,True,286.514,151.026,2.95344,0.890369
1100,619,5,1.20069,INT-2 central,0.112924,49.7169,1.6749,189.137,25.631,135.847,0.00339618,True,True,1670.81,188.675,17.223,5.1922
1100,619,5,1.16951,INT-2 low,0.112924,49.7169,1.71955,194.179,26.3142,135.847,0.00339618,True,True,1715.35,193.704,17.6822,5.33061
1100,619,5,1.5,v5 nominal,0.112924,49.7169,1.34069,151.396,20.5165,135.847,0.00339618,True,True,1337.41,151.026,13.7863,4.15613
1100,619,10,1.20069,INT-2 central,0.0295119,49.7169,6.40883,189.137,25.631,135.847,0.00339618,True,True,6393.17,188.675,65.902,19.8674
1100,619,10,1.16951,INT-2 low,0.0295119,49.7169,6.57967,194.179,26.3142,135.847,0.00339618,True,True,6563.6,193.704,67.6588,20.397
1100,619,10,1.5,v5 nominal,0.0295119,49.7169,5.12999,151.396,20.5165,135.847,0.00339618,True,True,5117.46,151.026,52.7517,15.903
1100,800,2,1.292,INT-2 central,0.527116,49.7169,0.258011,136.002,30.7845,226.908,0.0056727,True,False,257.381,135.67,2.65313,0.799835
1100,800,2,1.2416,INT-2 low,0.527116,49.7169,0.268484,141.522,32.0341,226.908,0.0056727,True,False,267.828,141.176,2.76082,0.832301
1100,800,2,1.5,v5 nominal,0.527116,49.7169,0.222233,117.143,26.5157,226.908,0.0056727,True,True,221.69,116.856,2.28522,0.688923
1100,800,5,1.292,INT-2 central,0.112924,49.7169,1.20437,136.002,30.7845,226.908,0.0056727,True,False,1201.42,135.67,12.3845,3.73353
1100,800,5,1.2416,INT-2 low,0.112924,49.7169,1.25325,141.522,32.0341,226.908,0.0056727,True,False,1250.19,141.176,12.8872,3.88508
1100,800,5,1.5,v5 nominal,0.112924,49.7169,1.03736,117.143,26.5157,226.908,0.0056727,True,True,1034.82,116.856,10.6671,3.21581
1100,800,10,1.292,INT-2 central,0.0295119,49.7169,4.60837,136.002,30.7845,226.908,0.0056727,True,False,4597.11,135.67,47.3878,14.2859
1100,800,10,1.2416,INT-2 low,0.0295119,49.7169,4.79542,141.522,32.0341,226.908,0.0056727,True,False,4783.71,141.176,49.3113,14.8658
1100,800,10,1.5,v5 nominal,0.0295119,49.7169,3.96933,117.143,26.5157,226.908,0.0056727,True,True,3959.63,116.856,40.8166,12.3049
1100,1000,2,1.37838,INT-2 central,0.527116,49.7169,0.193473,101.983,36.0691,354.544,0.00886359,True,False,193.001,101.734,1.98949,0.599768
1100,1000,2,1.30739,INT-2 low,0.527116,49.7169,0.203978,107.52,38.0275,354.544,0.00886359,True,False,203.48,107.257,2.09751,0.632332
1100,1000,2,1.5,v5 nominal,0.527116,49.7169,0.177787,93.7141,33.1446,354.544,0.00886359,True,False,177.352,93.4851,1.82818,0.551138
1100,1000,5,1.37838,INT-2 central,0.112924,49.7169,0.90311,101.983,36.0691,354.544,0.00886359,True,False,900.904,101.734,9.28668,2.79964
1100,1000,5,1.30739,INT-2 low,0.112924,49.7169,0.952145,107.52,38.0275,354.544,0.00886359,True,False,949.819,107.257,9.79091,2.95165
1100,1000,5,1.5,v5 nominal,0.112924,49.7169,0.829886,93.7141,33.1446,354.544,0.00886359,True,False,827.858,93.4851,8.53371,2.57265
1100,1000,10,1.37838,INT-2 central,0.0295119,49.7169,3.45565,101.983,36.0691,354.544,0.00886359,True,False,3447.21,101.734,35.5344,10.7125
1100,1000,10,1.30739,INT-2 low,0.0295119,49.7169,3.64327,107.52,38.0275,354.544,0.00886359,True,False,3634.37,107.257,37.4638,11.2942
1100,1000,10,1.5,v5 nominal,0.0295119,49.7169,3.17546,93.7141,33.1446,354.544,0.00886359,True,False,3167.71,93.4851,32.6533,9.84394
1200,400,2,1.06292,INT-2 central,0.527116,48.7241,0.614711,324.024,18.336,56.727,0.00141817,True,True,613.209,323.232,6.32107,1.9056
1200,400,2,1.05499,INT-2 low,0.527116,48.7241,0.619333,326.46,18.4739,56.727,0.00141817,True,True,617.82,325.663,6.3686,1.91993
1200,400,2,1.5,v5 nominal,0.527116,48.7241,0.435591,229.607,12.9931,56.727,0.00141817,True,True,434.527,229.046,4.47919,1.35033
1200,400,5,1.06292,INT-2 central,0.112924,48.7241,2.8694,324.024,18.336,56.727,0.00141817,True,True,2862.39,323.232,29.506,8.89513
1200,400,5,1.05499,INT-2 low,0.112924,48.7241,2.89097,326.46,18.4739,56.727,0.00141817,True,True,2883.91,325.663,29.7278,8.96201
1200,400,5,1.5,v5 nominal,0.112924,48.7241,2.03329,229.607,12.9931,56.727,0.00141817,True,True,2028.32,229.046,20.9083,6.30319
1200,400,10,1.06292,INT-2 central,0.0295119,48.7241,10.9794,324.024,18.336,56.727,0.00141817,True,True,10952.6,323.232,112.901,34.0362
1200,400,10,1.05499,INT-2 low,0.0295119,48.7241,11.062,326.46,18.4739,56.727,0.00141817,True,True,11034.9,325.663,113.75,34.2921
1200,400,10,1.5,v5 nominal,0.0295119,48.7241,7.78014,229.607,12.9931,56.727,0.00141817,True,True,7761.14,229.046,80.0032,24.1184
1200,619,2,1.20069,INT-2 central,0.527116,48.7241,0.35165,185.36,25.1192,135.847,0.00339618,True,True,350.791,184.908,3.61602,1.09012
1200,619,2,1.16951,INT-2 low,0.527116,48.7241,0.361024,190.302,25.7888,135.847,0.00339618,True,True,360.142,189.837,3.71241,1.11918
1200,619,2,1.5,v5 nominal,0.527116,48.7241,0.281481,148.373,20.1068,135.847,0.00339618,True,True,280.793,148.01,2.89447,0.87259
1200,619,5,1.20069,INT-2 central,0.112924,48.7241,1.64146,185.36,25.1192,135.847,0.00339618,True,True,1637.45,184.908,16.8791,5.08853
1200,619,5,1.16951,INT-2 low,0.112924,48.7241,1.68522,190.302,25.7888,135.847,0.00339618,True,True,1681.1,189.837,17.3291,5.22417
1200,619,5,1.5,v5 nominal,0.112924,48.7241,1.31392,148.373,20.1068,135.847,0.00339618,True,True,1310.71,148.01,13.511,4.07314
