h_km,d_debris_cm,solar_case,v_rel_required_for_self_disposal_m_s,released_mass_reenters_within_one_orbit,FCC_5yr_released_material,ODMSP_25yr_released_material,target_lifetime_yr,target_meets_25yr_single_kick,target_meets_5yr_single_kick,kicks_for_25yr,target_meets_25yr_staged,IADC_net_flux,casualty_expectation,casualty_vs_threshold
500,1,nominal,115.043,True,PASS,PASS,0.0397985,PASS,PASS,0,PASS,PASS,0,PASS
500,1,solar_max,115.043,True,PASS,PASS,0.0174661,PASS,PASS,0,PASS,PASS,0,PASS
500,2,solar_min,115.043,True,PASS,PASS,0.286133,PASS,PASS,0,PASS,PASS,0,PASS
500,2,nominal,115.043,True,PASS,PASS,0.0795971,PASS,PASS,0,PASS,PASS,0,PASS
500,2,solar_max,115.043,True,PASS,PASS,0.0349322,PASS,PASS,0,PASS,PASS,0,PASS
500,5,solar_min,115.043,True,PASS,PASS,0.715334,PASS,PASS,0,PASS,PASS,0,PASS
500,5,nominal,115.043,True,PASS,PASS,0.198993,PASS,PASS,0,PASS,PASS,0,PASS
500,5,solar_max,115.043,True,PASS,PASS,0.0873304,PASS,PASS,0,PASS,PASS,0,PASS
500,10,solar_min,115.043,True,PASS,PASS,1.43067,PASS,PASS,1,PASS,PASS,0,PASS
500,10,nominal,115.043,True,PASS,PASS,0.397985,PASS,PASS,0,PASS,PASS,0,PASS
500,10,solar_max,115.043,True,PASS,PASS,0.174661,PASS,PASS,0,PASS,PASS,0,PASS
600,0.5,solar_min,141.969,True,PASS,PASS,0.768341,PASS,PASS,0,PASS,PASS,0,PASS
600,0.5,nominal,141.969,True,PASS,PASS,0.123769,PASS,PASS,0,PASS,PASS,0,PASS
600,0.5,solar_max,141.969,True,PASS,PASS,0.0412426,PASS,PASS,0,PASS,PASS,0,PASS
600,1,solar_min,141.969,True,PASS,PASS,1.53668,PASS,PASS,0,PASS,PASS,0,PASS
600,1,nominal,141.969,True,PASS,PASS,0.247538,PASS,PASS,0,PASS,PASS,0,PASS
600,1,solar_max,141.969,True,PASS,PASS,0.0824852,PASS,PASS,0,PASS,PASS,0,PASS
600,2,solar_min,141.969,True,PASS,PASS,3.07336,PASS,PASS,1,PASS,PASS,0,PASS
600,2,nominal,141.969,True,PASS,PASS,0.495076,PASS,PASS,0,PASS,PASS,0,PASS
600,2,solar_max,141.969,True,PASS,PASS,0.16497,PASS,PASS,0,PASS,PASS,0,PASS
600,5,solar_min,141.969,True,PASS,PASS,7.68341,PASS,FAIL,1,PASS,PASS,0,PASS
600,5,nominal,141.969,True,PASS,PASS,1.23769,PASS,PASS,0,PASS,PASS,0,PASS
600,5,solar_max,141.969,True,PASS,PASS,0.412426,PASS,PASS,0,PASS,PASS,0,PASS
600,10,solar_min,141.969,True,PASS,PASS,15.3668,PASS,FAIL,1,PASS,PASS,0,PASS
600,10,nominal,141.969,True,PASS,PASS,2.47538,PASS,PASS,0,PASS,PASS,0,PASS
600,10,solar_max,141.969,True,PASS,PASS,0.824852,PASS,PASS,0,PASS,PASS,0,PASS
700,0.5,solar_min,168.213,True,PASS,PASS,5.74474,PASS,FAIL,1,PASS,PASS,0,PASS
700,0.5,nominal,168.213,True,PASS,PASS,0.604432,PASS,PASS,0,PASS,PASS,0,PASS
700,0.5,solar_max,168.213,True,PASS,PASS,0.157355,PASS,PASS,0,PASS,PASS,0,PASS
700,1,solar_min,168.213,True,PASS,PASS,11.4895,PASS,FAIL,1,PASS,PASS,0,PASS
700,1,nominal,168.213,True,PASS,PASS,1.20886,PASS,PASS,0,PASS,PASS,0,PASS
700,1,solar_max,168.213,True,PASS,PASS,0.314711,PASS,PASS,0,PASS,PASS,0,PASS
700,2,solar_min,168.213,True,PASS,PASS,22.979,PASS,FAIL,1,PASS,PASS,0,PASS
700,2,nominal,168.213,True,PASS,PASS,2.41773,PASS,PASS,0,PASS,PASS,0,PASS
700,2,solar_max,168.213,True,PASS,PASS,0.629422,PASS,PASS,0,PASS,PASS,0,PASS
700,5,solar_min,168.213,True,PASS,PASS,57.4464,FAIL,FAIL,1,PASS,PASS,0,PASS
700,5,nominal,168.213,True,PASS,PASS,6.04432,PASS,FAIL,1,PASS,PASS,0,PASS
700,5,solar_max,168.213,True,PASS,PASS,1.57355,PASS,PASS,0,PASS,PASS,0,PASS
700,10,solar_min,168.213,True,PASS,PASS,114.887,FAIL,FAIL,1,PASS,PASS,0,PASS
700,10,nominal,168.213,True,PASS,PASS,12.0886,PASS,FAIL,1,PASS,PASS,0,PASS
700,10,solar_max,168.213,True,PASS,PASS,3.14711,PASS,PASS,0,PASS,PASS,0,PASS
800,0.5,solar_min,193.799,True,PASS,PASS,28.1263,FAIL,FAIL,1,PASS,PASS,0,PASS
800,0.5,nominal,193.799,True,PASS,PASS,2.5244,PASS,PASS,0,PASS,PASS,0,PASS
800,0.5,solar_max,193.799,True,PASS,PASS,0.527413,PASS,PASS,0,PASS,PASS,0,PASS
800,1,solar_min,193.799,True,PASS,PASS,56.2523,FAIL,FAIL,1,PASS,PASS,0,PASS
800,1,nominal,193.799,True,PASS,PASS,5.04879,PASS,FAIL,0,PASS,PASS,0,PASS
800,1,solar_max,193.799,True,PASS,PASS,1.05483,PASS,PASS,0,PASS,PASS,0,PASS
800,2,solar_min,193.799,True,PASS,PASS,112.501,FAIL,FAIL,1,PASS,PASS,0,PASS
800,2,nominal,193.799,True,PASS,PASS,10.0976,PASS,FAIL,1,PASS,PASS,0,PASS
800,2,solar_max,193.799,True,PASS,PASS,2.10965,PASS,PASS,0,PASS,PASS,0,PASS
800,5,solar_min,193.799,True,PASS,PASS,inf,FAIL,FAIL,1,PASS,PASS,0,PASS
800,5,nominal,193.799,True,PASS,PASS,25.244,FAIL,FAIL,1,PASS,PASS,0,PASS
800,5,solar_max,193.799,True,PASS,PASS,5.27413,PASS,FAIL,0,PASS,PASS,0,PASS
800,10,solar_min,193.799,True,PASS,PASS,inf,FAIL,FAIL,1,PASS,PASS,0,PASS
800,10,nominal,193.799,True,PASS,PASS,50.4878,FAIL,FAIL,1,PASS,PASS,0,PASS
800,10,solar_max,193.799,True,PASS,PASS,10.5483,PASS,FAIL,1,PASS,PASS,0,PASS
900,0.5,solar_min,218.749,True,PASS,PASS,87.5406,FAIL,FAIL,1,PASS,PASS,0,PASS
900,0.5,nominal,218.749,True,PASS,PASS,9.09243,PASS,FAIL,1,PASS,PASS,0,PASS
900,0.5,solar_max,218.749,True,PASS,PASS,1.6083,PASS,PASS,0,PASS,PASS,0,PASS
900,1,solar_min,218.749,True,PASS,PASS,175.078,FAIL,FAIL,1,PASS,PASS,0,PASS
900,1,nominal,218.749,True,PASS,PASS,18.1849,PASS,FAIL,1,PASS,PASS,0,PASS
900,1,solar_max,218.749,True,PASS,PASS,3.21661,PASS,PASS,0,PASS,PASS,0,PASS
900,2,solar_min,218.749,True,PASS,PASS,inf,FAIL,FAIL,1,PASS,PASS,0,PASS
900,2,nominal,218.749,True,PASS,PASS,36.3697,FAIL,FAIL,1,PASS,PASS,0,PASS
900,2,solar_max,218.749,True,PASS,PASS,6.43322,PASS,FAIL,0,PASS,PASS,0,PASS
900,5,solar_min,218.749,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
900,5,nominal,218.749,True,PASS,PASS,90.9226,FAIL,FAIL,1,PASS,PASS,0,PASS
900,5,solar_max,218.749,True,PASS,PASS,16.083,PASS,FAIL,1,PASS,PASS,0,PASS
900,10,solar_min,218.749,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
900,10,nominal,218.749,True,PASS,PASS,181.84,FAIL,FAIL,1,PASS,PASS,0,PASS
900,10,solar_max,218.749,True,PASS,PASS,32.1661,FAIL,FAIL,1,PASS,PASS,0,PASS
1000,0.5,solar_min,243.085,True,PASS,PASS,198.762,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,0.5,nominal,243.085,True,PASS,PASS,27.4871,FAIL,FAIL,1,PASS,PASS,0,PASS
1000,0.5,solar_max,243.085,True,PASS,PASS,4.51507,PASS,PASS,0,PASS,PASS,0,PASS
1000,1,solar_min,243.085,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,1,nominal,243.085,True,PASS,PASS,54.9743,FAIL,FAIL,1,PASS,PASS,0,PASS
1000,1,solar_max,243.085,True,PASS,PASS,9.03014,PASS,FAIL,1,PASS,PASS,0,PASS
1000,2,solar_min,243.085,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,2,nominal,243.085,True,PASS,PASS,109.947,FAIL,FAIL,1,PASS,PASS,0,PASS
1000,2,solar_max,243.085,True,PASS,PASS,18.0603,PASS,FAIL,1,PASS,PASS,0,PASS
1000,5,solar_min,243.085,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,5,nominal,243.085,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,5,solar_max,243.085,True,PASS,PASS,45.1507,FAIL,FAIL,1,PASS,PASS,0,PASS
1000,10,solar_min,243.085,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,10,nominal,243.085,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1000,10,solar_max,243.085,True,PASS,PASS,90.3006,FAIL,FAIL,1,PASS,PASS,0,PASS
1100,0.5,solar_min,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1100,0.5,nominal,266.827,True,PASS,PASS,68.3034,FAIL,FAIL,1,PASS,PASS,0,PASS
1100,0.5,solar_max,266.827,True,PASS,PASS,11.6459,PASS,FAIL,1,PASS,PASS,0,PASS
1100,1,solar_min,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1100,1,nominal,266.827,True,PASS,PASS,136.605,FAIL,FAIL,1,PASS,PASS,0,PASS
1100,1,solar_max,266.827,True,PASS,PASS,23.2918,PASS,FAIL,1,PASS,PASS,0,PASS
1100,2,solar_min,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1100,2,nominal,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1100,2,solar_max,266.827,True,PASS,PASS,46.5836,FAIL,FAIL,1,PASS,PASS,0,PASS
1100,5,solar_min,266.827,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1100,5,nominal,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1100,5,solar_max,266.827,True,PASS,PASS,116.458,FAIL,FAIL,1,PASS,PASS,0,PASS
1100,10,solar_min,266.827,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1100,10,nominal,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1100,10,solar_max,266.827,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1200,0.5,solar_min,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,0.5,nominal,289.996,True,PASS,PASS,141.759,FAIL,FAIL,2,PASS,PASS,0,PASS
1200,0.5,solar_max,289.996,True,PASS,PASS,27.3383,FAIL,FAIL,1,PASS,PASS,0,PASS
1200,1,solar_min,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,1,nominal,289.996,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1200,1,solar_max,289.996,True,PASS,PASS,54.6767,FAIL,FAIL,1,PASS,PASS,0,PASS
1200,2,solar_min,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,2,nominal,289.996,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1200,2,solar_max,289.996,True,PASS,PASS,109.353,FAIL,FAIL,1,PASS,PASS,0,PASS
1200,5,solar_min,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,5,nominal,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,5,solar_max,289.996,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
1200,10,solar_min,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,10,nominal,289.996,True,PASS,PASS,inf,FAIL,FAIL,3,PASS,PASS,0,PASS
1200,10,solar_max,289.996,True,PASS,PASS,inf,FAIL,FAIL,2,PASS,PASS,0,PASS
