m_debris_kg,h_km,d_debris_cm,dv_required_m_s,beta,m_incident_required_g,m_incident_max_subcat_g,areal_penalty,m_powder_ideal_g,m_powder_g,n_shots,mode,cloud_sigma_mm,cloud_diameter_cm,Es_kJ_kg,Es_over_threshold,subcatastrophic,subcat_worst_case,total_accel_mass_g,within_coilgun_limit,self_disposal_ok,v_rel_m_s
0.6,1000,7.51501,50.7437,1.20069,81.9302,125.274,1,81.9302,81.9302,1,NOMINAL,9.99548,4.89319,26.1604,0.65401,True,True,100.93,False,True,619
0.6,1200,7.51501,48.7241,1.20069,78.6694,125.274,1,78.6694,78.6694,1,NOMINAL,9.99548,4.89319,25.1192,0.62798,True,True,97.6694,True,True,619
0.7,400,7.91125,57.7243,1.20069,108.734,146.153,1,108.734,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,29.7591,0.743978,True,True,119,False,True,619
0.7,600,7.91125,55.2281,1.20069,104.032,146.153,1,104.032,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,28.4723,0.711806,True,True,119,False,True,619
0.7,800,7.91125,52.9068,1.20069,99.6598,146.153,1,99.6598,99.6598,1,NOMINAL,9.99548,4.89319,27.2755,0.681889,True,True,118.66,False,True,619
0.7,900,7.91125,51.8065,1.20069,97.5871,146.153,1,97.5871,97.5871,1,NOMINAL,9.99548,4.89319,26.7083,0.667707,True,True,116.587,False,True,619
0.7,1000,7.91125,50.7437,1.20069,95.5852,146.153,1,95.5852,95.5852,1,NOMINAL,9.99548,4.89319,26.1604,0.65401,True,True,114.585,False,True,619
0.7,1200,7.91125,48.7241,1.20069,91.7809,146.153,1,91.7809,91.7809,1,NOMINAL,9.99548,4.89319,25.1192,0.62798,True,True,110.781,False,True,619
0.8,400,8.27134,57.7243,1.20069,124.268,167.032,1,124.268,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,29.7591,0.743978,True,True,119,False,True,619
0.8,600,8.27134,55.2281,1.20069,118.894,167.032,1,118.894,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,28.4723,0.711806,True,True,119,False,True,619
0.8,800,8.27134,52.9068,1.20069,113.897,167.032,1,113.897,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,27.2755,0.681889,True,True,119,False,True,619
0.8,900,8.27134,51.8065,1.20069,111.528,167.032,1,111.528,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,26.7083,0.667707,True,True,119,False,True,619
0.8,1000,8.27134,50.7437,1.20069,109.24,167.032,1,109.24,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,26.1604,0.65401,True,True,119,False,True,619
0.8,1200,8.27134,48.7241,1.20069,104.892,167.032,1,104.892,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,25.1192,0.62798,True,True,119,False,True,619
1,400,8.91003,57.7243,1.20069,155.335,208.79,1,155.335,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,29.7591,0.743978,True,True,119,False,True,619
1,600,8.91003,55.2281,1.20069,148.618,208.79,1,148.618,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,28.4723,0.711806,True,True,119,False,True,619
1,800,8.91003,52.9068,1.20069,142.371,208.79,1,142.371,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,27.2755,0.681889,True,True,119,False,True,619
1,900,8.91003,51.8065,1.20069,139.41,208.79,1,139.41,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,26.7083,0.667707,True,True,119,False,True,619
1,1000,8.91003,50.7437,1.20069,136.55,208.79,1,136.55,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,26.1604,0.65401,True,True,119,False,True,619
1,1200,8.91003,48.7241,1.20069,131.116,208.79,1,131.116,100,2,MULTI-SHOT (charge capped at 100 g),9.99548,4.89319,25.1192,0.62798,True,True,119,False,True,619
