d_cloud_cm,sigma_cloud_mm,d_target_cm,d_grain_um,m_grain_mg,m_launch_mg,area_ratio,eps,peak_areal_density_kg_m2,N_grains_total,N_grains_on_target,poisson_cv,averaging_valid
2,4.08547,10,50,0.0013751,50,0.04,1,0.476767,36361,36361,0.00524424,True
2,4.08547,10,50,0.0013751,500,0.04,1,4.76767,363610,363610,0.00165837,True
2,4.08547,10,50,0.0013751,3000,0.04,1,28.606,2.18166e+06,2.18166e+06,0.000677028,True
2,4.08547,10,50,0.0013751,10000,0.04,1,95.3535,7.27219e+06,7.27219e+06,0.000370824,True
2,4.08547,10,100,0.0110008,0.5,0.04,1,0.00476767,45.4512,45.4512,0.148329,False
2,4.08547,10,100,0.0110008,5,0.04,1,0.0476767,454.512,454.512,0.0469059,True
2,4.08547,10,100,0.0110008,50,0.04,1,0.476767,4545.12,4545.12,0.0148329,True
2,4.08547,10,100,0.0110008,500,0.04,1,4.76767,45451.2,45451.2,0.00469059,True
2,4.08547,10,100,0.0110008,3000,0.04,1,28.606,272707,272707,0.00191492,True
2,4.08547,10,100,0.0110008,10000,0.04,1,95.3535,909024,909024,0.00104885,True
2,4.08547,10,200,0.0880065,0.5,0.04,1,0.00476767,5.6814,5.6814,0.419539,False
2,4.08547,10,200,0.0880065,5,0.04,1,0.0476767,56.814,56.814,0.13267,False
2,4.08547,10,200,0.0880065,50,0.04,1,0.476767,568.14,568.14,0.0419539,True
2,4.08547,10,200,0.0880065,500,0.04,1,4.76767,5681.4,5681.4,0.013267,True
2,4.08547,10,200,0.0880065,3000,0.04,1,28.606,34088.4,34088.4,0.00541623,True
2,4.08547,10,200,0.0880065,10000,0.04,1,95.3535,113628,113628,0.00296659,True
2,4.08547,10,450,1.00245,0.5,0.04,1,0.00476767,0.498779,0.498779,1.41594,False
2,4.08547,10,450,1.00245,5,0.04,1,0.0476767,4.98779,4.98779,0.447761,False
2,4.08547,10,450,1.00245,50,0.04,1,0.476767,49.8779,49.8779,0.141594,False
2,4.08547,10,450,1.00245,500,0.04,1,4.76767,498.779,498.779,0.0447761,True
2,4.08547,10,450,1.00245,3000,0.04,1,28.606,2992.67,2992.67,0.0182798,True
2,4.08547,10,450,1.00245,10000,0.04,1,95.3535,9975.57,9975.57,0.0100122,True
2,4.08547,10,1000,11.0008,0.5,0.04,1,0.00476767,0.0454512,0.0454512,4.69059,False
2,4.08547,10,1000,11.0008,5,0.04,1,0.0476767,0.454512,0.454512,1.48329,False
