d_debris_cm,h_km,beta,miss_budget,sigma_miss_m,material,launch,n_engagements_life,C_platform,m_on_target_g,mass_penalty,m_shot_g,n_kicks,n_shots,cost_material,cost_launch,cost_energy,cost_platform,cost_per_object,cost_per_kg
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,10000,5e+08,0.105468,16.8444,1.77654,1,1.11111,14.3762,13.8176,2.62617e-05,50000,50028.2,3.53877e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,100000,5e+07,0.105468,16.8444,1.77654,1,1.11111,14.3762,13.8176,2.62617e-05,500,528.194,373621
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2026-07-22 spot),7000 rideshare,100000,5e+08,0.105468,16.8444,1.77654,1,1.11111,14.3762,13.8176,2.62617e-05,5000,5028.19,3.55672e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,1000,5e+07,0.105468,16.8444,1.77654,1,1.11111,4.90721,5.92182,2.62617e-05,50000,50010.8,3.53754e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,1000,5e+08,0.105468,16.8444,1.77654,1,1.11111,4.90721,5.92182,2.62617e-05,500000,500011,3.53685e+08
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,10000,5e+07,0.105468,16.8444,1.77654,1,1.11111,4.90721,5.92182,2.62617e-05,5000,5010.83,3.54444e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,10000,5e+08,0.105468,16.8444,1.77654,1,1.11111,4.90721,5.92182,2.62617e-05,50000,50010.8,3.53754e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,100000,5e+07,0.105468,16.8444,1.77654,1,1.11111,4.90721,5.92182,2.62617e-05,500,510.829,361338
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),3000 dedicated,100000,5e+08,0.105468,16.8444,1.77654,1,1.11111,4.90721,5.92182,2.62617e-05,5000,5010.83,3.54444e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),7000 rideshare,1000,5e+07,0.105468,16.8444,1.77654,1,1.11111,4.90721,13.8176,2.62617e-05,50000,50018.7,3.5381e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),7000 rideshare,1000,5e+08,0.105468,16.8444,1.77654,1,1.11111,4.90721,13.8176,2.62617e-05,500000,500019,3.53691e+08
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),7000 rideshare,10000,5e+07,0.105468,16.8444,1.77654,1,1.11111,4.90721,13.8176,2.62617e-05,5000,5018.72,3.55002e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),7000 rideshare,10000,5e+08,0.105468,16.8444,1.77654,1,1.11111,4.90721,13.8176,2.62617e-05,50000,50018.7,3.5381e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),7000 rideshare,100000,5e+07,0.105468,16.8444,1.77654,1,1.11111,4.90721,13.8176,2.62617e-05,500,518.725,366923
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,Re (2025 avg),7000 rideshare,100000,5e+08,0.105468,16.8444,1.77654,1,1.11111,4.90721,13.8176,2.62617e-05,5000,5018.72,3.55002e+06
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),3000 dedicated,1000,5e+07,0.105468,16.8444,1.77654,1,1.11111,0.197394,5.92182,2.62617e-05,50000,50006.1,3.53721e+07
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),3000 dedicated,1000,5e+08,0.105468,16.8444,1.77654,1,1.11111,0.197394,5.92182,2.62617e-05,500000,500006,3.53682e+08
1,400,2.5,"design (R=10 m, 200 µrad)",0.0058,W (upper),3000 dedicated,10000,5e+07,0.105468,16.8444,1.77654,1,1.11111,0.197394,5.92182,2.62617e-05,5000,5006.12,3.5411e+06
