m_p_g,v_m_s,eta,l_barrel_m,n_stages,E_kin_J,E_elec_J,m_cap_kg,m_cu_kg,l_wire_m,wire_awg,energy_cost_usd
0.1,2000,0.4,20.3943,68,200,500,0.333333,19.0018,640.707,12,1.38889e-05
0.1,2000,0.5,20.3943,68,200,400,0.266667,19.0018,640.707,12,1.11111e-05
0.1,3000,0.3,45.8872,153,450,1500,1,42.7541,1441.59,12,4.16667e-05
0.1,3000,0.4,45.8872,153,450,1125,0.75,42.7541,1441.59,12,3.125e-05
0.1,3000,0.5,45.8872,153,450,900,0.6,42.7541,1441.59,12,2.5e-05
0.1,5000,0.3,127.465,425,1250,4166.67,2.77778,118.761,4004.42,12,0.000115741
0.1,5000,0.4,127.465,425,1250,3125,2.08333,118.761,4004.42,12,8.68056e-05
0.1,5000,0.5,127.465,425,1250,2500,1.66667,118.761,4004.42,12,6.94444e-05
1,400,0.3,0.815773,3,80,266.667,0.177778,0.760073,25.6283,12,7.40741e-06
1,400,0.4,0.815773,3,80,200,0.133333,0.760073,25.6283,12,5.55556e-06
1,400,0.5,0.815773,3,80,160,0.106667,0.760073,25.6283,12,4.44444e-06
1,619,0.3,1.95358,7,191.581,638.602,0.425734,1.82019,61.3734,12,1.77389e-05
1,619,0.4,1.95358,7,191.581,478.951,0.319301,1.82019,61.3734,12,1.33042e-05
1,619,0.5,1.95358,7,191.581,383.161,0.255441,1.82019,61.3734,12,1.06434e-05
1,1000,0.3,5.09858,17,500,1666.67,1.11111,4.75045,160.177,12,4.62963e-05
1,1000,0.4,5.09858,17,500,1250,0.833333,4.75045,160.177,12,3.47222e-05
1,1000,0.5,5.09858,17,500,1000,0.666667,4.75045,160.177,12,2.77778e-05
1,2000,0.3,20.3943,68,2000,6666.67,4.44444,19.0018,640.707,12,0.000185185
1,2000,0.4,20.3943,68,2000,5000,3.33333,19.0018,640.707,12,0.000138889
1,2000,0.5,20.3943,68,2000,4000,2.66667,19.0018,640.707,12,0.000111111
1,3000,0.3,45.8872,153,4500,15000,10,42.7541,1441.59,12,0.000416667
1,3000,0.4,45.8872,153,4500,11250,7.5,42.7541,1441.59,12,0.0003125
1,3000,0.5,45.8872,153,4500,9000,6,42.7541,1441.59,12,0.00025
1,5000,0.3,127.465,425,12500,41666.7,27.7778,118.761,4004.42,12,0.00115741
1,5000,0.4,127.465,425,12500,31250,20.8333,118.761,4004.42,12,0.000868056
1,5000,0.5,127.465,425,12500,25000,16.6667,118.761,4004.42,12,0.000694444
2.69,400,0.3,0.815773,3,215.2,717.333,0.478222,0.760073,25.6283,12,1.99259e-05
2.69,400,0.4,0.815773,3,215.2,538,0.358667,0.760073,25.6283,12,1.49444e-05
2.69,400,0.5,0.815773,3,215.2,430.4,0.286933,0.760073,25.6283,12,1.19556e-05
2.69,619,0.3,1.95358,7,515.352,1717.84,1.14523,1.82019,61.3734,12,4.77177e-05
2.69,619,0.4,1.95358,7,515.352,1288.38,0.858919,1.82019,61.3734,12,3.57883e-05
2.69,619,0.5,1.95358,7,515.352,1030.7,0.687135,1.82019,61.3734,12,2.86306e-05
2.69,1000,0.3,5.09858,17,1345,4483.33,2.98889,4.75045,160.177,12,0.000124537
2.69,1000,0.4,5.09858,17,1345,3362.5,2.24167,4.75045,160.177,12,9.34028e-05
2.69,1000,0.5,5.09858,17,1345,2690,1.79333,4.75045,160.177,12,7.47222e-05
2.69,2000,0.3,20.3943,68,5380,17933.3,11.9556,19.0018,640.707,12,0.000498148
