theta_deg,dh_offset_m,v_transverse_m_s,R_m,tof_s,tau_s,t_view_s,t_obs_s,sigma_pos_m,sigma_v_m_s,miss_no_lead_m,miss_with_lead_m,n_samples_in_view
0,5000,2.54576,100,0.161551,0.05,785.62,10,5.5e-05,1.90526e-07,0.538558,4.03059e-08,785620
0,5000,2.54576,100,0.161551,0.1,785.62,10,5.5e-05,1.90526e-07,0.665846,4.98321e-08,785620
0,5000,2.54576,1000,1.61551,0.0001,7856.2,10,0.00055,1.90526e-06,4.11295,3.07815e-06,7.8562e+06
0,5000,2.54576,1000,1.61551,0.001,7856.2,10,0.00055,1.90526e-06,4.11525,3.07986e-06,7.8562e+06
0,5000,2.54576,1000,1.61551,0.005,7856.2,10,0.00055,1.90526e-06,4.12543,3.08748e-06,7.8562e+06
0,5000,2.54576,1000,1.61551,0.01,7856.2,10,0.00055,1.90526e-06,4.13816,3.09701e-06,7.8562e+06
0,5000,2.54576,1000,1.61551,0.05,7856.2,10,0.00055,1.90526e-06,4.23999,3.17322e-06,7.8562e+06
0,5000,2.54576,1000,1.61551,0.1,7856.2,10,0.00055,1.90526e-06,4.36728,3.26848e-06,7.8562e+06
0.001,,0.129226,1,0.00161551,0.0001,154.768,10,5.5e-07,1.90526e-09,0.000221688,3.26848e-12,154768
0.001,,0.129226,1,0.00161551,0.001,154.768,10,5.5e-07,1.90526e-09,0.000337991,4.98321e-12,154768
0.001,,0.129226,1,0.00161551,0.005,154.768,10,5.5e-07,1.90526e-09,0.000854894,1.26042e-11,154768
0.001,,0.129226,1,0.00161551,0.01,154.768,10,5.5e-07,1.90526e-09,0.00150102,2.21305e-11,154768
0.001,,0.129226,1,0.00161551,0.05,154.768,10,5.5e-07,1.90526e-09,0.00667005,9.83408e-11,154768
0.001,,0.129226,1,0.00161551,0.1,154.768,10,5.5e-07,1.90526e-09,0.0131313,1.93604e-10,154768
0.001,,0.129226,10,0.0161551,0.0001,1547.68,10,5.5e-06,1.90526e-08,0.00210058,3.09701e-10,1.54768e+06
0.001,,0.129226,10,0.0161551,0.001,1547.68,10,5.5e-06,1.90526e-08,0.00221688,3.26848e-10,1.54768e+06
0.001,,0.129226,10,0.0161551,0.005,1547.68,10,5.5e-06,1.90526e-08,0.00273378,4.03059e-10,1.54768e+06
0.001,,0.129226,10,0.0161551,0.01,1547.68,10,5.5e-06,1.90526e-08,0.00337991,4.98321e-10,1.54768e+06
0.001,,0.129226,10,0.0161551,0.05,1547.68,10,5.5e-06,1.90526e-08,0.00854894,1.26042e-09,1.54768e+06
0.001,,0.129226,10,0.0161551,0.1,1547.68,10,5.5e-06,1.90526e-08,0.0150102,2.21305e-09,1.54768e+06
0.001,,0.129226,100,0.161551,0.0001,15476.8,10,5.5e-05,1.90526e-07,0.0208895,3.07986e-08,1.54768e+07
0.001,,0.129226,100,0.161551,0.001,15476.8,10,5.5e-05,1.90526e-07,0.0210058,3.09701e-08,1.54768e+07
0.001,,0.129226,100,0.161551,0.005,15476.8,10,5.5e-05,1.90526e-07,0.0215227,3.17322e-08,1.54768e+07
0.001,,0.129226,100,0.161551,0.01,15476.8,10,5.5e-05,1.90526e-07,0.0221688,3.26848e-08,1.54768e+07
0.001,,0.129226,100,0.161551,0.05,15476.8,10,5.5e-05,1.90526e-07,0.0273378,4.03059e-08,1.54768e+07
0.001,,0.129226,100,0.161551,0.1,15476.8,10,5.5e-05,1.90526e-07,0.0337991,4.98321e-08,1.54768e+07
0.001,,0.129226,1000,1.61551,0.0001,154768,10,0.00055,1.90526e-06,0.208778,3.07815e-06,1.54768e+08
0.001,,0.129226,1000,1.61551,0.001,154768,10,0.00055,1.90526e-06,0.208895,3.07986e-06,1.54768e+08
0.001,,0.129226,1000,1.61551,0.005,154768,10,0.00055,1.90526e-06,0.209412,3.08748e-06,1.54768e+08
0.001,,0.129226,1000,1.61551,0.01,154768,10,0.00055,1.90526e-06,0.210058,3.09701e-06,1.54768e+08
0.001,,0.129226,1000,1.61551,0.05,154768,10,0.00055,1.90526e-06,0.215227,3.17322e-06,1.54768e+08
0.001,,0.129226,1000,1.61551,0.1,154768,10,0.00055,1.90526e-06,0.221688,3.26848e-06,1.54768e+08
0.01,,1.29226,1,0.00161551,0.0001,15.4768,10,5.5e-07,1.90526e-09,0.00221688,3.26848e-12,15476.8
0.01,,1.29226,1,0.00161551,0.001,15.4768,10,5.5e-07,1.90526e-09,0.00337991,4.98321e-12,15476.8
0.01,,1.29226,1,0.00161551,0.005,15.4768,10,5.5e-07,1.90526e-09,0.00854894,1.26042e-11,15476.8
0.01,,1.29226,1,0.00161551,0.01,15.4768,10,5.5e-07,1.90526e-09,0.0150102,2.21305e-11,15476.8
0.01,,1.29226,1,0.00161551,0.05,15.4768,10,5.5e-07,1.90526e-09,0.0667005,9.83408e-11,15476.8
0.01,,1.29226,1,0.00161551,0.1,15.4768,10,5.5e-07,1.90526e-09,0.131313,1.93604e-10,15476.8
0.01,,1.29226,10,0.0161551,0.0001,154.768,10,5.5e-06,1.90526e-08,0.0210058,3.09701e-10,154768
0.01,,1.29226,10,0.0161551,0.001,154.768,10,5.5e-06,1.90526e-08,0.0221688,3.26848e-10,154768
0.01,,1.29226,10,0.0161551,0.005,154.768,10,5.5e-06,1.90526e-08,0.0273378,4.03059e-10,154768
0.01,,1.29226,10,0.0161551,0.01,154.768,10,5.5e-06,1.90526e-08,0.0337991,4.98321e-10,154768
0.01,,1.29226,10,0.0161551,0.05,154.768,10,5.5e-06,1.90526e-08,0.0854894,1.26042e-09,154768
0.01,,1.29226,10,0.0161551,0.1,154.768,10,5.5e-06,1.90526e-08,0.150102,2.21305e-09,154768
0.01,,1.29226,100,0.161551,0.0001,1547.68,10,5.5e-05,1.90526e-07,0.208895,3.07986e-08,1.54768e+06
0.01,,1.29226,100,0.161551,0.001,1547.68,10,5.5e-05,1.90526e-07,0.210058,3.09701e-08,1.54768e+06
0.01,,1.29226,100,0.161551,0.005,1547.68,10,5.5e-05,1.90526e-07,0.215227,3.17322e-08,1.54768e+06
0.01,,1.29226,100,0.161551,0.01,1547.68,10,5.5e-05,1.90526e-07,0.221688,3.26848e-08,1.54768e+06
0.01,,1.29226,100,0.161551,0.05,1547.68,10,5.5e-05,1.90526e-07,0.273378,4.03059e-08,1.54768e+06
0.01,,1.29226,100,0.161551,0.1,1547.68,10,5.5e-05,1.90526e-07,0.337991,4.98321e-08,1.54768e+06
0.01,,1.29226,1000,1.61551,0.0001,15476.8,10,0.00055,1.90526e-06,2.08778,3.07815e-06,1.54768e+07
0.01,,1.29226,1000,1.61551,0.001,15476.8,10,0.00055,1.90526e-06,2.08895,3.07986e-06,1.54768e+07
0.01,,1.29226,1000,1.61551,0.005,15476.8,10,0.00055,1.90526e-06,2.09412,3.08748e-06,1.54768e+07
0.01,,1.29226,1000,1.61551,0.01,15476.8,10,0.00055,1.90526e-06,2.10058,3.09701e-06,1.54768e+07
0.01,,1.29226,1000,1.61551,0.05,15476.8,10,0.00055,1.90526e-06,2.15227,3.17322e-06,1.54768e+07
0.01,,1.29226,1000,1.61551,0.1,15476.8,10,0.00055,1.90526e-06,2.21688,3.26848e-06,1.54768e+07
0.1,,12.9226,1,0.00161551,0.0001,1.54768,1.54768,5.5e-07,3.12919e-08,0.0221688,5.36815e-11,1547.68
0.1,,12.9226,1,0.00161551,0.001,1.54768,1.54768,5.5e-07,3.12919e-08,0.0337991,8.18443e-11,1547.68
0.1,,12.9226,1,0.00161551,0.005,1.54768,1.54768,5.5e-07,3.12919e-08,0.0854894,2.07012e-10,1547.68
0.1,,12.9226,1,0.00161551,0.01,1.54768,1.54768,5.5e-07,3.12919e-08,0.150102,3.63471e-10,1547.68
0.1,,12.9226,1,0.00161551,0.05,1.54768,1.54768,5.5e-07,3.12919e-08,0.667005,1.61515e-09,1547.68
0.1,,12.9226,1,0.00161551,0.1,1.54768,1.54768,5.5e-07,3.12919e-08,1.31313,3.17974e-09,1547.68
0.1,,12.9226,10,0.0161551,0.0001,15.4768,10,5.5e-06,1.90526e-08,0.210058,3.09701e-10,15476.8
0.1,,12.9226,10,0.0161551,0.001,15.4768,10,5.5e-06,1.90526e-08,0.221688,3.26848e-10,15476.8
0.1,,12.9226,10,0.0161551,0.005,15.4768,10,5.5e-06,1.90526e-08,0.273378,4.03059e-10,15476.8
0.1,,12.9226,10,0.0161551,0.01,15.4768,10,5.5e-06,1.90526e-08,0.337991,4.98321e-10,15476.8
0.1,,12.9226,10,0.0161551,0.05,15.4768,10,5.5e-06,1.90526e-08,0.854894,1.26042e-09,15476.8
0.1,,12.9226,10,0.0161551,0.1,15.4768,10,5.5e-06,1.90526e-08,1.50102,2.21305e-09,15476.8
0.1,,12.9226,100,0.161551,0.0001,154.768,10,5.5e-05,1.90526e-07,2.08895,3.07986e-08,154768
0.1,,12.9226,100,0.161551,0.001,154.768,10,5.5e-05,1.90526e-07,2.10058,3.09701e-08,154768
0.1,,12.9226,100,0.161551,0.005,154.768,10,5.5e-05,1.90526e-07,2.15227,3.17322e-08,154768
0.1,,12.9226,100,0.161551,0.01,154.768,10,5.5e-05,1.90526e-07,2.21688,3.26848e-08,154768
0.1,,12.9226,100,0.161551,0.05,154.768,10,5.5e-05,1.90526e-07,2.73378,4.03059e-08,154768
0.1,,12.9226,100,0.161551,0.1,154.768,10,5.5e-05,1.90526e-07,3.37991,4.98321e-08,154768
0.1,,12.9226,1000,1.61551,0.0001,1547.68,10,0.00055,1.90526e-06,20.8778,3.07815e-06,1.54768e+06
0.1,,12.9226,1000,1.61551,0.001,1547.68,10,0.00055,1.90526e-06,20.8895,3.07986e-06,1.54768e+06
0.1,,12.9226,1000,1.61551,0.005,1547.68,10,0.00055,1.90526e-06,20.9412,3.08748e-06,1.54768e+06
0.1,,12.9226,1000,1.61551,0.01,1547.68,10,0.00055,1.90526e-06,21.0058,3.09701e-06,1.54768e+06
0.1,,12.9226,1000,1.61551,0.05,1547.68,10,0.00055,1.90526e-06,21.5227,3.17322e-06,1.54768e+06
