h_km,beta,v_rel_m_s,Es_c_kJ_kg,m_p_g,Es_kJ_kg,catastrophic,M_eff_kg,N_gt_1cm_SBM,N_gt_1mm_SBM,ejecta_g_gault,crater_volume_mm3,ejecta_g_energy_bound,ejecta_frac_of_target,KE_J
500,1.5,619,50,0.171909,23.2964,False,0.000106412,0.275577,14.1333,1.06412,65.8689,0.177846,0.1258,32.9344
500,1.5,619,40,0.171909,23.2964,False,0.000106412,0.275577,14.1333,1.06412,65.8689,0.177846,0.1258,32.9344
500,1.5,800,30,0.133015,30.1084,True,0.00154673,2.05145,105.211,1.06412,85.1294,0.229849,0.162585,42.5647
500,1.5,800,50,0.133015,30.1084,False,0.000106412,0.275577,14.1333,1.06412,85.1294,0.229849,0.162585,42.5647
500,1.5,800,40,0.133015,30.1084,False,0.000106412,0.275577,14.1333,1.06412,85.1294,0.229849,0.162585,42.5647
500,1.5,1000,30,0.106412,37.6355,True,0.00152013,2.02493,103.851,1.06412,106.412,0.287312,0.203232,53.2059
500,1.5,1000,50,0.106412,37.6355,False,0.000106412,0.275577,14.1333,1.06412,106.412,0.287312,0.203232,53.2059
500,1.5,1000,40,0.106412,37.6355,False,0.000106412,0.275577,14.1333,1.06412,106.412,0.287312,0.203232,53.2059
500,1.5,1500,30,0.0709412,56.4532,True,0.00148466,1.98939,102.028,1.06412,159.618,0.430968,0.304847,79.8088
500,1.5,1500,50,0.0709412,56.4532,True,0.00148466,1.98939,102.028,1.06412,159.618,0.430968,0.304847,79.8088
500,1.5,1500,40,0.0709412,56.4532,True,0.00148466,1.98939,102.028,1.06412,159.618,0.430968,0.304847,79.8088
500,1.5,2000,30,0.0532059,75.2709,True,0.00146692,1.97154,101.113,1.06412,212.824,0.574624,0.406463,106.412
500,1.5,2000,50,0.0532059,75.2709,True,0.00146692,1.97154,101.113,1.06412,212.824,0.574624,0.406463,106.412
500,1.5,2000,40,0.0532059,75.2709,True,0.00146692,1.97154,101.113,1.06412,212.824,0.574624,0.406463,106.412
500,2.5,400,30,0.159618,9.03251,False,6.38471e-05,0.187869,9.63509,0.638471,25.5388,0.0689548,0.0487756,12.7694
500,2.5,400,50,0.159618,9.03251,False,6.38471e-05,0.187869,9.63509,0.638471,25.5388,0.0689548,0.0487756,12.7694
500,2.5,400,40,0.159618,9.03251,False,6.38471e-05,0.187869,9.63509,0.638471,25.5388,0.0689548,0.0487756,12.7694
500,2.5,619,30,0.103146,13.9778,False,6.38471e-05,0.187869,9.63509,0.638471,39.5213,0.106708,0.0754802,19.7607
500,2.5,619,50,0.103146,13.9778,False,6.38471e-05,0.187869,9.63509,0.638471,39.5213,0.106708,0.0754802,19.7607
500,2.5,619,40,0.103146,13.9778,False,6.38471e-05,0.187869,9.63509,0.638471,39.5213,0.106708,0.0754802,19.7607
500,2.5,800,30,0.0798088,18.065,False,6.38471e-05,0.187869,9.63509,0.638471,51.0777,0.13791,0.0975511,25.5388
500,2.5,800,50,0.0798088,18.065,False,6.38471e-05,0.187869,9.63509,0.638471,51.0777,0.13791,0.0975511,25.5388
500,2.5,800,40,0.0798088,18.065,False,6.38471e-05,0.187869,9.63509,0.638471,51.0777,0.13791,0.0975511,25.5388
500,2.5,1000,30,0.0638471,22.5813,False,6.38471e-05,0.187869,9.63509,0.638471,63.8471,0.172387,0.121939,31.9235
500,2.5,1000,50,0.0638471,22.5813,False,6.38471e-05,0.187869,9.63509,0.638471,63.8471,0.172387,0.121939,31.9235
500,2.5,1000,40,0.0638471,22.5813,False,6.38471e-05,0.187869,9.63509,0.638471,63.8471,0.172387,0.121939,31.9235
500,2.5,1500,30,0.0425647,33.8719,True,0.00145628,1.9608,100.562,0.638471,95.7706,0.258581,0.182908,47.8853
500,2.5,1500,50,0.0425647,33.8719,False,6.38471e-05,0.187869,9.63509,0.638471,95.7706,0.258581,0.182908,47.8853
500,2.5,1500,40,0.0425647,33.8719,False,6.38471e-05,0.187869,9.63509,0.638471,95.7706,0.258581,0.182908,47.8853
500,2.5,2000,30,0.0319235,45.1626,True,0.00144564,1.95005,100.01,0.638471,127.694,0.344774,0.243878,63.8471
500,2.5,2000,50,0.0319235,45.1626,False,6.38471e-05,0.187869,9.63509,0.638471,127.694,0.344774,0.243878,63.8471
500,2.5,2000,40,0.0319235,45.1626,True,0.00144564,1.95005,100.01,0.638471,127.694,0.344774,0.243878,63.8471
600,1,400,30,0.390385,22.0912,False,0.000156154,0.367421,18.8436,1.56154,62.4615,0.168646,0.119293,31.2308
600,1,400,50,0.390385,22.0912,False,0.000156154,0.367421,18.8436,1.56154,62.4615,0.168646,0.119293,31.2308
600,1,400,40,0.390385,22.0912,False,0.000156154,0.367421,18.8436,1.56154,62.4615,0.168646,0.119293,31.2308
600,1,619,30,0.252268,34.1862,True,0.00166598,2.16897,111.238,1.56154,96.6592,0.26098,0.184606,48.3296
600,1,619,50,0.252268,34.1862,False,0.000156154,0.367421,18.8436,1.56154,96.6592,0.26098,0.184606,48.3296
600,1,619,40,0.252268,34.1862,False,0.000156154,0.367421,18.8436,1.56154,96.6592,0.26098,0.184606,48.3296
600,1,800,30,0.195192,44.1825,True,0.00160891,2.113,108.367,1.56154,124.923,0.337292,0.238585,62.4615
600,1,800,50,0.195192,44.1825,False,0.000156154,0.367421,18.8436,1.56154,124.923,0.337292,0.238585,62.4615
600,1,800,40,0.195192,44.1825,True,0.00160891,2.113,108.367,1.56154,124.923,0.337292,0.238585,62.4615
600,1,1000,30,0.156154,55.2281,True,0.00156987,2.07443,106.389,1.56154,156.154,0.421615,0.298232,78.0769
600,1,1000,50,0.156154,55.2281,True,0.00156987,2.07443,106.389,1.56154,156.154,0.421615,0.298232,78.0769
600,1,1000,40,0.156154,55.2281,True,0.00156987,2.07443,106.389,1.56154,156.154,0.421615,0.298232,78.0769
600,1,1500,30,0.104103,82.8422,True,0.00151782,2.02262,103.733,1.56154,234.231,0.632423,0.447348,117.115
600,1,1500,50,0.104103,82.8422,True,0.00151782,2.02262,103.733,1.56154,234.231,0.632423,0.447348,117.115
600,1,1500,40,0.104103,82.8422,True,0.00151782,2.02262,103.733,1.56154,234.231,0.632423,0.447348,117.115
600,1,2000,30,0.0780769,110.456,True,0.00149179,1.99656,102.396,1.56154,312.308,0.843231,0.596464,156.154
600,1,2000,50,0.0780769,110.456,True,0.00149179,1.99656,102.396,1.56154,312.308,0.843231,0.596464,156.154
600,1,2000,40,0.0780769,110.456,True,0.00149179,1.99656,102.396,1.56154,312.308,0.843231,0.596464,156.154
600,1.5,400,30,0.260256,14.7275,False,0.000104103,0.271079,13.9026,1.04103,41.641,0.112431,0.0795285,20.8205
600,1.5,400,50,0.260256,14.7275,False,0.000104103,0.271079,13.9026,1.04103,41.641,0.112431,0.0795285,20.8205
600,1.5,400,40,0.260256,14.7275,False,0.000104103,0.271079,13.9026,1.04103,41.641,0.112431,0.0795285,20.8205
600,1.5,619,30,0.168179,22.7908,False,0.000104103,0.271079,13.9026,1.04103,64.4395,0.173987,0.12307,32.2197
600,1.5,619,50,0.168179,22.7908,False,0.000104103,0.271079,13.9026,1.04103,64.4395,0.173987,0.12307,32.2197
600,1.5,619,40,0.168179,22.7908,False,0.000104103,0.271079,13.9026,1.04103,64.4395,0.173987,0.12307,32.2197
600,1.5,800,30,0.130128,29.455,False,0.000104103,0.271079,13.9026,1.04103,83.282,0.224862,0.159057,41.641
600,1.5,800,50,0.130128,29.455,False,0.000104103,0.271079,13.9026,1.04103,83.282,0.224862,0.159057,41.641
600,1.5,800,40,0.130128,29.455,False,0.000104103,0.271079,13.9026,1.04103,83.282,0.224862,0.159057,41.641
600,1.5,1000,30,0.104103,36.8187,True,0.00151782,2.02262,103.733,1.04103,104.103,0.281077,0.198821,52.0513
600,1.5,1000,50,0.104103,36.8187,False,0.000104103,0.271079,13.9026,1.04103,104.103,0.281077,0.198821,52.0513
600,1.5,1000,40,0.104103,36.8187,False,0.000104103,0.271079,13.9026,1.04103,104.103,0.281077,0.198821,52.0513
600,1.5,1500,30,0.0694017,55.2281,True,0.00148312,1.98784,101.949,1.04103,156.154,0.421615,0.298232,78.0769
600,1.5,1500,50,0.0694017,55.2281,True,0.00148312,1.98784,101.949,1.04103,156.154,0.421615,0.298232,78.0769
600,1.5,1500,40,0.0694017,55.2281,True,0.00148312,1.98784,101.949,1.04103,156.154,0.421615,0.298232,78.0769
600,1.5,2000,30,0.0520513,73.6375,True,0.00146577,1.97038,101.053,1.04103,208.205,0.562154,0.397642,104.103
600,1.5,2000,50,0.0520513,73.6375,True,0.00146577,1.97038,101.053,1.04103,208.205,0.562154,0.397642,104.103
600,1.5,2000,40,0.0520513,73.6375,True,0.00146577,1.97038,101.053,1.04103,208.205,0.562154,0.397642,104.103
600,2.5,400,30,0.156154,8.8365,False,6.24615e-05,0.184803,9.47784,0.624615,24.9846,0.0674585,0.0477171,12.4923
600,2.5,400,50,0.156154,8.8365,False,6.24615e-05,0.184803,9.47784,0.624615,24.9846,0.0674585,0.0477171,12.4923
600,2.5,400,40,0.156154,8.8365,False,6.24615e-05,0.184803,9.47784,0.624615,24.9846,0.0674585,0.0477171,12.4923
600,2.5,619,30,0.100907,13.6745,False,6.24615e-05,0.184803,9.47784,0.624615,38.6637,0.104392,0.0738422,19.3318
600,2.5,619,50,0.100907,13.6745,False,6.24615e-05,0.184803,9.47784,0.624615,38.6637,0.104392,0.0738422,19.3318
600,2.5,619,40,0.100907,13.6745,False,6.24615e-05,0.184803,9.47784,0.624615,38.6637,0.104392,0.0738422,19.3318
600,2.5,800,30,0.0780769,17.673,False,6.24615e-05,0.184803,9.47784,0.624615,49.9692,0.134917,0.0954342,24.9846
600,2.5,800,50,0.0780769,17.673,False,6.24615e-05,0.184803,9.47784,0.624615,49.9692,0.134917,0.0954342,24.9846
600,2.5,800,40,0.0780769,17.673,False,6.24615e-05,0.184803,9.47784,0.624615,49.9692,0.134917,0.0954342,24.9846
600,2.5,1000,30,0.0624615,22.0912,False,6.24615e-05,0.184803,9.47784,0.624615,62.4615,0.168646,0.119293,31.2308
600,2.5,1000,50,0.0624615,22.0912,False,6.24615e-05,0.184803,9.47784,0.624615,62.4615,0.168646,0.119293,31.2308
