h_km,v_rel_m_s,R_m,tof_s,dv_T_m_s,n_rad_s,n_times_tof,sigma_cw_m,sigma_ballistic_m,cw_over_ballistic,along_track_cw_m
600,619,5,0.00807754,0.3,0.00108474,8.76205e-06,0.00242326,0.00242326,1,9.30208e-14
600,619,5,0.00807754,1,0.00108474,8.76205e-06,0.00807754,0.00807754,1,3.10069e-13
600,619,5,0.00807754,3,0.00108474,8.76205e-06,0.0242326,0.0242326,1,9.30208e-13
600,619,10,0.0161551,0.001,0.00108474,1.75241e-05,1.61551e-05,1.61551e-05,1,2.48056e-15
600,619,10,0.0161551,0.01,0.00108474,1.75241e-05,0.000161551,0.000161551,1,2.48056e-14
600,619,10,0.0161551,0.1,0.00108474,1.75241e-05,0.00161551,0.00161551,1,2.48056e-13
600,619,10,0.0161551,0.3,0.00108474,1.75241e-05,0.00484653,0.00484653,1,7.44169e-13
600,619,10,0.0161551,1,0.00108474,1.75241e-05,0.0161551,0.0161551,1,2.48056e-12
600,619,10,0.0161551,3,0.00108474,1.75241e-05,0.0484653,0.0484653,1,7.44169e-12
600,619,50,0.0807754,0.001,0.00108474,8.76205e-05,8.07754e-05,8.07754e-05,1,3.10071e-13
600,619,50,0.0807754,0.01,0.00108474,8.76205e-05,0.000807754,0.000807754,1,3.10071e-12
600,619,50,0.0807754,0.1,0.00108474,8.76205e-05,0.00807754,0.00807754,1,3.10071e-11
600,619,50,0.0807754,0.3,0.00108474,8.76205e-05,0.0242326,0.0242326,1,9.30212e-11
600,619,50,0.0807754,1,0.00108474,8.76205e-05,0.0807754,0.0807754,1,3.10071e-10
600,619,50,0.0807754,3,0.00108474,8.76205e-05,0.242326,0.242326,1,9.30212e-10
600,619,100,0.161551,0.001,0.00108474,0.000175241,0.000161551,0.000161551,1,2.48056e-12
600,619,100,0.161551,0.01,0.00108474,0.000175241,0.00161551,0.00161551,1,2.48056e-11
600,619,100,0.161551,0.1,0.00108474,0.000175241,0.0161551,0.0161551,1,2.48056e-10
600,619,100,0.161551,0.3,0.00108474,0.000175241,0.0484653,0.0484653,1,7.44169e-10
600,619,100,0.161551,1,0.00108474,0.000175241,0.161551,0.161551,1,2.48056e-09
600,619,100,0.161551,3,0.00108474,0.000175241,0.484653,0.484653,1,7.44169e-09
600,1000,1,0.001,0.001,0.00108474,1.08474e-06,1e-06,1e-06,1,5.88574e-19
600,1000,1,0.001,0.01,0.00108474,1.08474e-06,1e-05,1e-05,1,5.88574e-18
600,1000,1,0.001,0.1,0.00108474,1.08474e-06,0.0001,0.0001,1,5.88574e-17
600,1000,1,0.001,0.3,0.00108474,1.08474e-06,0.0003,0.0003,1,1.76572e-16
600,1000,1,0.001,1,0.00108474,1.08474e-06,0.001,0.001,1,5.88574e-16
600,1000,1,0.001,3,0.00108474,1.08474e-06,0.003,0.003,1,1.76572e-15
600,1000,5,0.005,0.001,0.00108474,5.42371e-06,5e-06,5e-06,1,7.35408e-17
600,1000,5,0.005,0.01,0.00108474,5.42371e-06,5e-05,5e-05,1,7.35408e-16
600,1000,5,0.005,0.1,0.00108474,5.42371e-06,0.0005,0.0005,1,7.35408e-15
600,1000,5,0.005,0.3,0.00108474,5.42371e-06,0.0015,0.0015,1,2.20622e-14
600,1000,5,0.005,1,0.00108474,5.42371e-06,0.005,0.005,1,7.35408e-14
600,1000,5,0.005,3,0.00108474,5.42371e-06,0.015,0.015,1,2.20622e-13
600,1000,10,0.01,0.001,0.00108474,1.08474e-05,1e-05,1e-05,1,5.88331e-16
600,1000,10,0.01,0.01,0.00108474,1.08474e-05,0.0001,0.0001,1,5.88331e-15
600,1000,10,0.01,0.1,0.00108474,1.08474e-05,0.001,0.001,1,5.88331e-14
