d_debris_cm,solar_case,h_km,n,P_viable_design,P_viable_plan,P_viable_objcost,P_viable_useful,P_c5_cost_per_object,P_c6_remediation_value,median_t_natural_yr,P_c1_subcatastrophic,P_c2_plan_phit,P_c2_design_mass,P_c3_decay,P_c4_net_debris,P_c5_cost,P_self_disposal,median_cost_per_kg,median_cost_per_object,median_m_shot_g,median_d_miss_mm,median_t_decay_yr
1,solar_max,400,7407,0,0,0.524369,0,0.653301,0,0.0245183,0.8172,0.251114,0.978534,1,0.8172,0,1,1.83683e+07,25420.7,92.3969,39.05,0.00230612
1,solar_max,500,7407,0,0,0.539895,0,0.662211,0,0.105603,0.829486,0.256244,0.980019,1,0.829486,0,1,1.79779e+07,25290.8,88.2417,38.6163,0.0176555
1,solar_max,600,7407,0,0,0.534764,0,0.648711,0,0.384298,0.842716,0.259484,0.979344,1,0.842716,0,1,1.89987e+07,26525.7,91.9305,39.9256,0.0824415
1,solar_max,700,7407,0,0,0.542865,0,0.650736,0,1.25076,0.859727,0.255029,0.980019,1,0.859727,0,1,1.88503e+07,26582.2,90.968,40.6018,0.313356
1,solar_max,800,7407,0,0,0.55353,0,0.652896,0,3.73217,0.864183,0.250844,0.979479,1,0.864183,0,1,1.83527e+07,26004.1,89.3587,39.9781,1.05569
1,solar_max,900,7407,0,0,0.562441,0,0.657216,0,10.2811,0.873093,0.260969,0.982584,1,0.873093,0,1,1.80188e+07,25234.3,86.0786,39.9592,3.19642
1,solar_max,1000,7407,0,0,0.571621,0.571621,0.654246,1,26.0296,0.892534,0.246389,0.983934,1,0.892534,0,1,1.80869e+07,25372.1,83.6062,39.6763,9.07039
1,solar_max,1100,7407,0,0,0.341029,0.341029,0.645876,0.629945,59.9484,0.894424,0.259484,0.984744,0.629945,0.894424,0,1,1.88459e+07,26586.1,82.1058,39.7558,23.322
1,solar_max,1200,7407,0,0,0,0,0.645471,0,124.538,0.903335,0.252599,0.982449,0,0.903335,0,1,1.85752e+07,26471.7,81.0514,39.8553,54.6706
2,solar_min,400,7407,0.000810045,0.000135007,0.472121,0,0.63359,0,0.581148,0.816525,0.255839,0.908735,1,0.816525,0.000810045,1,2.63599e+06,29757.8,190.526,39.9261,0.0141707
2,solar_min,500,7407,0.000945052,0.000270015,0.488052,0,0.638315,0,5.28997,0.829621,0.252329,0.91724,1,0.829621,0.00108006,1,2.59505e+06,29472.6,184.499,39.7465,0.282098
2,solar_min,600,7407,0.000405022,0.000135007,0.500743,0.500743,0.63548,1,34.4058,0.848792,0.250439,0.91616,1,0.848792,0.00054003,1,2.52538e+06,28920,176.123,39.4362,3.07446
2,solar_min,700,7407,0.000270015,0,0.26988,0.26988,0.638315,0.574862,144.295,0.863643,0.259214,0.919941,0.574862,0.863643,0.00054003,1,2.48694e+06,28364.9,182.34,40.3242,22.8187
2,solar_min,800,7407,0,0,0,0,0.636695,0,10000,0.861617,0.257594,0.921021,0,0.861617,0.000405022,1,2.62942e+06,29366.6,172.134,39.5749,112.277
2,solar_min,900,7407,0,0,0,0,0.63764,0,10000,0.875793,0.257324,0.927636,0,0.875793,0.000945052,1,2.62315e+06,29380.2,171.004,39.7927,10000
2,solar_min,1000,7407,0,0,0,0,0.608883,0,10000,0.888619,0.259349,0.924126,0,0.888619,0.000405022,1,2.97296e+06,33627.6,164.525,39.7467,10000
2,solar_min,1100,7407,0,0,0,0,0.616174,0,10000,0.900365,0.247199,0.933576,0,0.900365,0.000270015,1,2.91094e+06,32831.3,158.494,39.2686,10000
2,solar_min,1200,7407,0,0,0,0,0.578912,0,10000,0.90725,0.251789,0.932496,0,0.90725,0.00054003,1,3.37779e+06,37897.2,163.25,40.1691,10000
2,nominal,400,7407,0.000405022,0.000270015,0.477116,0,0.643175,0,0.124897,0.81477,0.255434,0.905495,1,0.81477,0.000945052,1,2.4998e+06,28198.5,191.576,39.4372,0.00729211
2,nominal,500,7407,0.000405022,0.000135007,0.486702,0,0.64142,0,0.692069,0.82584,0.261104,0.91373,1,0.82584,0.000405022,1,2.52989e+06,28473.1,180.56,39.3864,0.0802486
2,nominal,600,7407,0.000675037,0,0.484002,0,0.624949,0,3.18559,0.847037,0.250304,0.914945,1,0.847037,0.000810045,1,2.64757e+06,29993,186.168,39.8094,0.493584
2,nominal,700,7407,0.000945052,0.000270015,0.509383,0,0.64034,0,12.7471,0.854867,0.253139,0.926151,1,0.854867,0.00135007,1,2.58365e+06,29124.1,182.104,40.5256,2.42595
2,nominal,800,7407,0.00121507,0.000135007,0.508303,0.508303,0.633725,1,44.0001,0.863237,0.255029,0.923181,1,0.863237,0.00162009,1,2.61256e+06,29615.1,177.916,40.2521,10.111
2,nominal,900,7407,0,0,0.0213312,0.0213312,0.643715,0.0491427,127.049,0.878493,0.254759,0.931821,0.0491427,0.878493,0.00148508,1,2.46609e+06,27881,167.59,39.2583,36.6324
2,nominal,1000,7407,0,0,0,0,0.64385,0,10000,0.887269,0.240988,0.929391,0,0.887269,0.00108006,1,2.4987e+06,28041.8,169.252,40.1237,109.622
2,nominal,1100,7407,0,0,0,0,0.622924,0,10000,0.898069,0.253814,0.930471,0,0.898069,0.000675037,1,2.8285e+06,32028.5,164.767,39.8563,10000
2,nominal,1200,7407,0,0,0,0,0.618064,0,10000,0.90536,0.256379,0.931011,0,0.90536,0.000675037,1,2.86461e+06,32221,165.156,40.3799,10000
2,solar_max,400,7407,0.000810045,0,0.479141,0,0.63602,0,0.0490365,0.82503,0.261779,0.909275,1,0.82503,0.000810045,1,2.65021e+06,29853.7,197.687,40.2418,0.00460732
2,solar_max,500,7407,0.00054003,0.000270015,0.492507,0,0.639125,0,0.211207,0.837856,0.255974,0.91427,1,0.837856,0.000675037,1,2.55586e+06,28860.6,186.997,39.5565,0.0349568
2,solar_max,600,7407,0.000405022,0,0.503308,0,0.64466,0,0.768597,0.843256,0.257999,0.91724,1,0.843256,0.000810045,1,2.46768e+06,27926,182.557,40.2589,0.16537
2,solar_max,700,7407,0.00135007,0.000135007,0.509653,0,0.640475,0,2.50152,0.858242,0.256244,0.916835,1,0.858242,0.00135007,1,2.50045e+06,28243.1,180.532,39.9751,0.631836
2,solar_max,800,7407,0.00135007,0,0.521264,0,0.644255,0,7.46433,0.870528,0.255704,0.924126,1,0.870528,0.00162009,1,2.52801e+06,28512.4,176.199,39.862,2.12895
2,solar_max,900,7407,0.000945052,0.000405022,0.527069,0,0.640205,0,20.5622,0.886324,0.250034,0.923856,1,0.886324,0.00108006,1,2.55988e+06,28691.8,169.012,39.78,6.43528
2,solar_max,1000,7407,0.000810045,0.000270015,0.53652,0.53652,0.649926,1,52.0592,0.879573,0.246389,0.933171,1,0.879573,0.000810045,1,2.45576e+06,27738.4,161.554,39.0778,18.1213
2,solar_max,1100,7407,0,0,0,0,0.6398,0,119.896,0.893344,0.251114,0.928446,0,0.893344,0.000945052,1,2.49627e+06,28116.1,165.719,40.2143,46.6609
2,solar_max,1200,7407,0,0,0,0,0.64007,0,10000,0.900365,0.251384,0.931956,0,0.900365,0.0017551,1,2.52152e+06,28464.7,161.729,39.5837,109.333
5,solar_min,400,7407,0.213447,0.0581882,0.36722,0,0.590657,0,1.45287,0.82098,0.249359,0.707304,1,0.82098,0.27879,1,209266,36782.8,501.115,40.5387,0.0350444
5,solar_min,500,7407,0.221547,0.0621034,0.373566,0,0.586742,0,13.2249,0.828001,0.266235,0.721885,1,0.828001,0.284731,1,209496,36996.5,454.816,39.2159,0.713049
5,solar_min,600,7407,0.223707,0.054003,0.386121,0.386121,0.590117,1,86.0066,0.840961,0.246659,0.724315,1,0.840961,0.283516,1,204718,36181.3,469.926,40.4956,7.66305
5,solar_min,700,7407,0,0,0,0,0.599838,0,10000,0.861347,0.256649,0.712974,0,0.861347,0.283921,1,201364,35462.1,459.028,40.2869,57.6291
5,solar_min,800,7407,0,0,0,0,0.595518,0,10000,0.867153,0.258134,0.732415,0,0.867153,0.290671,1,205021,36373.7,441.025,39.7388,9407.1
