d_target_cm,m_target_kg,d_cloud_cm,eps,m_launch_kg,launch_frac_of_target,kg_removed_per_kg_launched,dv_per_gram_launched,A_over_m
156.53,5421.94,5,1,755.864,0.139408,7.17317,0.000137079,0.00035492
156.53,5421.94,10,1,755.864,0.139408,7.17317,0.000137079,0.00035492
174.456,7506.14,2,1,1046.42,0.139408,7.17317,9.90167e-05,0.000318451
174.456,7506.14,5,1,1046.42,0.139408,7.17317,9.90167e-05,0.000318451
174.456,7506.14,10,1,1046.42,0.139408,7.17317,9.90167e-05,0.000318451
194.434,10391.5,2,1,1448.66,0.139408,7.17317,7.15232e-05,0.00028573
194.434,10391.5,5,1,1448.66,0.139408,7.17317,7.15232e-05,0.00028573
194.434,10391.5,10,1,1448.66,0.139408,7.17317,7.15232e-05,0.00028573
216.7,14386,2,1,2005.53,0.139408,7.17317,5.16636e-05,0.000256371
216.7,14386,5,1,2005.53,0.139408,7.17317,5.16636e-05,0.000256371
216.7,14386,10,1,2005.53,0.139408,7.17317,5.16636e-05,0.000256371
241.516,19916,2,1,2776.46,0.139408,7.17317,3.73184e-05,0.000230028
241.516,19916,5,1,2776.46,0.139408,7.17317,3.73184e-05,0.000230028
241.516,19916,10,1,2776.46,0.139408,7.17317,3.73184e-05,0.000230028
269.175,27571.7,2,1,3843.73,0.139408,7.17317,2.69563e-05,0.000206392
269.175,27571.7,5,1,3843.73,0.139408,7.17317,2.69563e-05,0.000206392
269.175,27571.7,10,1,3843.73,0.139408,7.17317,2.69563e-05,0.000206392
300,38170.4,2,1,5321.27,0.139408,7.17317,1.94715e-05,0.000185185
300,38170.4,5,1,5321.27,0.139408,7.17317,1.94715e-05,0.000185185
300,38170.4,10,1,5321.27,0.139408,7.17317,1.94715e-05,0.000185185
