h_km,beta,v_rel_m_s,d_debris_cm,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_h_v4_direct_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold,d_grain_Re_mm_if_single,d_grain_W_mm_if_single
400,2.5,619,10,1413.72,52.7339,105.468,0.0746032,0.112969,1.51427,14.2925,True,21.2438,21.8724
400,2.5,800,0.5,0.176715,0.00510036,0.0102007,0.0577243,0.08741,1.51427,18.4718,True,0.975144,1.004
400,2.5,800,1,1.41372,0.0408029,0.0816057,0.0577243,0.08741,1.51427,18.4718,True,1.95029,2.008
400,2.5,800,2,11.3097,0.326423,0.652846,0.0577243,0.08741,1.51427,18.4718,True,3.90058,4.016
400,2.5,800,5,176.715,5.10036,10.2007,0.0577243,0.08741,1.51427,18.4718,True,9.75144,10.04
400,2.5,800,10,1413.72,40.8029,81.6057,0.0577243,0.08741,1.51427,18.4718,True,19.5029,20.08
400,2.5,1000,0.5,0.176715,0.00408029,0.00816057,0.0461794,0.069928,1.51427,23.0897,True,0.905243,0.932031
400,2.5,1000,1,1.41372,0.0326423,0.0652846,0.0461794,0.069928,1.51427,23.0897,True,1.81049,1.86406
400,2.5,1000,2,11.3097,0.261138,0.522277,0.0461794,0.069928,1.51427,23.0897,True,3.62097,3.72812
400,2.5,1000,5,176.715,4.08029,8.16057,0.0461794,0.069928,1.51427,23.0897,True,9.05243,9.32031
400,2.5,1000,10,1413.72,32.6423,65.2846,0.0461794,0.069928,1.51427,23.0897,True,18.1049,18.6406
500,1,400,0.5,0.176715,0.0249403,0.0498805,0.282266,0.575215,2.03785,22.5813,True,1.65514,1.70412
500,1,400,1,1.41372,0.199522,0.399044,0.282266,0.575215,2.03785,22.5813,True,3.31029,3.40824
500,1,400,2,11.3097,1.59618,3.19235,0.282266,0.575215,2.03785,22.5813,True,6.62057,6.81649
500,1,400,5,176.715,24.9403,49.8805,0.282266,0.575215,2.03785,22.5813,True,16.5514,17.0412
500,1,400,10,1413.72,199.522,399.044,0.282266,0.575215,2.03785,22.5813,True,33.1029,34.0824
500,1,619,0.5,0.176715,0.0161165,0.032233,0.182401,0.371706,2.03785,34.9445,True,1.43095,1.4733
500,1,619,1,1.41372,0.128932,0.257864,0.182401,0.371706,2.03785,34.9445,True,2.8619,2.94659
500,1,619,2,11.3097,1.03146,2.06291,0.182401,0.371706,2.03785,34.9445,True,5.72381,5.89319
500,1,619,5,176.715,16.1165,32.233,0.182401,0.371706,2.03785,34.9445,True,14.3095,14.733
500,1,619,10,1413.72,128.932,257.864,0.182401,0.371706,2.03785,34.9445,True,28.619,29.4659
500,1,800,0.5,0.176715,0.0124701,0.0249403,0.141133,0.287608,2.03785,45.1626,False,1.31369,1.35256
500,1,800,1,1.41372,0.099761,0.199522,0.141133,0.287608,2.03785,45.1626,False,2.62738,2.70512
500,1,800,2,11.3097,0.798088,1.59618,0.141133,0.287608,2.03785,45.1626,False,5.25475,5.41025
500,1,800,5,176.715,12.4701,24.9403,0.141133,0.287608,2.03785,45.1626,False,13.1369,13.5256
500,1,800,10,1413.72,99.761,199.522,0.141133,0.287608,2.03785,45.1626,False,26.2738,27.0512
500,1,1000,0.5,0.176715,0.0099761,0.0199522,0.112906,0.230086,2.03785,56.4532,False,1.21952,1.25561
500,1,1000,1,1.41372,0.0798088,0.159618,0.112906,0.230086,2.03785,56.4532,False,2.43904,2.51121
500,1,1000,2,11.3097,0.638471,1.27694,0.112906,0.230086,2.03785,56.4532,False,4.87808,5.02243
500,1,1000,5,176.715,9.9761,19.9522,0.112906,0.230086,2.03785,56.4532,False,12.1952,12.5561
500,1,1000,10,1413.72,79.8088,159.618,0.112906,0.230086,2.03785,56.4532,False,24.3904,25.1121
500,1.5,400,0.5,0.176715,0.0166268,0.0332537,0.188177,0.383477,2.03785,15.0542,True,1.4459,1.48869
500,1.5,400,1,1.41372,0.133015,0.266029,0.188177,0.383477,2.03785,15.0542,True,2.8918,2.97737
500,1.5,400,2,11.3097,1.06412,2.12824,0.188177,0.383477,2.03785,15.0542,True,5.7836,5.95475
500,1.5,400,5,176.715,16.6268,33.2537,0.188177,0.383477,2.03785,15.0542,True,14.459,14.8869
500,1.5,400,10,1413.72,133.015,266.029,0.188177,0.383477,2.03785,15.0542,True,28.918,29.7737
500,1.5,619,0.5,0.176715,0.0107443,0.0214886,0.121601,0.247804,2.03785,23.2964,True,1.25005,1.28704
500,1.5,619,1,1.41372,0.0859546,0.171909,0.121601,0.247804,2.03785,23.2964,True,2.5001,2.57409
500,1.5,619,2,11.3097,0.687637,1.37527,0.121601,0.247804,2.03785,23.2964,True,5.00021,5.14817
500,1.5,619,5,176.715,10.7443,21.4886,0.121601,0.247804,2.03785,23.2964,True,12.5005,12.8704
500,1.5,619,10,1413.72,85.9546,171.909,0.121601,0.247804,2.03785,23.2964,True,25.001,25.7409
500,1.5,800,0.5,0.176715,0.00831342,0.0166268,0.0940887,0.191738,2.03785,30.1084,True,1.14761,1.18157
500,1.5,800,1,1.41372,0.0665074,0.133015,0.0940887,0.191738,2.03785,30.1084,True,2.29522,2.36314
500,1.5,800,2,11.3097,0.532059,1.06412,0.0940887,0.191738,2.03785,30.1084,True,4.59045,4.72629
