R_m,tau_ms,u_m_s,pointing_urad,muzzle_frac,lidar_bw,sigma_range_m,tof_s,t_go_s,sigma_pos_m,sigma_pos_snr10_m,sigma_v_m_s,a_rel_m_s2,term_vel_extrap_m,term_rel_accel_m,term_pointing_m,term_muzzle_m,term_range_m,d_miss_M1_v4_m,d_miss_M2_coorbital_m,d_miss_M3_extrapolating_m,penalty_M3,penalty_M1,M_launch_M3_g,M_launch_M1_g,p_hit_plan_M1,p_hit_plan_M3
1,0.1,10,200,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.0002,0.000161551,0.000541483,0.0619,0.00103254,0.000599444,0.179927,1918.59,0.0289881,309.103,0.98682,0.999999
1,0.1,10,1000,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,1.61551e-05,0.541483,0.0619,0.00141432,0.541484,146815,1918.59,23653.4,309.103,0.98682,0.362311
1,0.1,10,1000,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,1.61551e-05,0.00541483,0.0619,0.00141432,0.00550642,15.1824,1918.59,2.44603,309.103,0.98682,0.999895
1,0.1,10,1000,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,1.61551e-05,0.000541483,0.0619,0.00141432,0.00113732,0.647687,1918.59,0.104349,309.103,0.98682,0.999996
1,0.1,10,1000,0.01,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000161551,0.541483,0.0619,0.00142342,0.541484,146815,1918.59,23653.4,309.103,0.98682,0.362311
1,0.1,10,1000,0.01,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000161551,0.00541483,0.0619,0.00142342,0.00550877,15.1953,1918.59,2.44811,309.103,0.98682,0.999895
1,0.1,10,1000,0.01,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,0.001,0.000161551,0.000541483,0.0619,0.00142342,0.00114862,0.660624,1918.59,0.106433,309.103,0.98682,0.999995
1,0.1,50,50,0.001,1 MHz (plan spec),33.5178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,8.07754e-05,2.70742,0.0619,0.00500091,2.70742,3.67037e+06,1918.59,591334,309.103,0.98682,9.4856e-12
1,0.1,50,50,0.001,100 MHz,0.335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,8.07754e-05,0.0270742,0.0619,0.00500091,0.0270743,367.042,1918.59,59.1341,309.103,0.98682,0.997465
1,0.1,50,50,0.001,1 GHz,0.0335178,0.00161551,0.00171551,5.5e-06,5.5e-07,1.90526e-08,3.2428e-06,3.26848e-11,4.77173e-12,5e-05,8.07754e-05,0.00270742,0.0619,0.00500091,0.00270909,3.67491,1918.59,0.592064,309.103,0.98682,0.999975
