d_debris_cm,h_km,dh_km,v_rel_m_s,solar_case,P_viable,P_viable_no_value_test,P_viable_perkg,P_c1,P_c2,P_c3,P_c4,P_c5,P_c6,median_t_natural,median_cost_object,median_shot_g,median_t_decay,d_miss_mm
0.5,700,250,1000,solar_min,0.337,0.337,0,0.515,1,1,0.515,0.6591,1,36.076,24327.7,0.417319,2.83037,3.9048
0.5,700,250,1000,nominal,0,0.3368,0,0.51065,1,1,0.51065,0.66025,0,3.18677,23379.5,0.417407,0.353081,3.9048
0.5,700,250,1000,solar_max,0,0.33935,0,0.50955,1,1,0.50955,0.66485,0,0.625381,23262.8,0.419634,0.10167,3.9048
0.5,800,150,400,solar_min,0,0,0,1,1,0,1,0.65735,0,100.34,23858,2.97995,42.7378,8.61863
0.5,800,150,400,nominal,0,0.65815,0,1,1,1,1,0.65815,0,11,23964.5,2.97737,3.88659,8.61863
0.5,800,150,400,solar_max,0,0.6617,0,1,1,1,1,0.6617,0,1.86608,23678.8,2.97866,0.754684,8.61863
0.5,800,150,500,solar_min,0,0,0,1,1,0,1,0.65255,0,100.34,24811.4,1.56637,42.7378,6.99863
0.5,800,150,500,nominal,0,0.6604,0,1,1,1,1,0.6604,0,11,24090.1,1.56909,3.88659,6.99863
0.5,800,150,500,solar_max,0,0.66315,0,1,1,1,1,0.66315,0,1.86608,23837.7,1.56198,0.754684,6.99863
0.5,800,150,619,solar_min,0,0,0,1,1,0,1,0.6575,0,100.34,23925.8,0.85842,42.7378,5.77491
0.5,800,150,619,nominal,0,0.665,0,1,1,1,1,0.665,0,11,23277.6,0.86213,3.88659,5.77491
0.5,800,150,619,solar_max,0,0.66145,0,1,1,1,1,0.66145,0,1.86608,23900.7,0.858251,0.754684,5.77491
0.5,800,150,800,solar_min,0,0,0,0.99865,1,0,0.99865,0.6567,0,100.34,24621.5,0.429511,42.7378,4.64462
0.5,800,150,800,nominal,0,0.669,0,0.9985,1,1,0.9985,0.67,0,11,23040.2,0.431031,3.88659,4.64462
0.5,800,150,800,solar_max,0,0.66525,0,0.99825,1,1,0.99825,0.66655,0,1.86608,23475,0.430362,0.754684,4.64462
0.5,800,150,1000,solar_min,0,0,0,0.95485,1,0,0.95485,0.66035,0,100.34,23797.4,0.244448,42.7378,3.9048
0.5,800,150,1000,nominal,0,0.6329,0,0.9554,1,1,0.9554,0.66195,0,11,24159.4,0.243896,3.88659,3.9048
0.5,800,150,1000,solar_max,0,0.6366,0,0.9542,1,1,0.9542,0.6666,0,1.86608,23046.1,0.243364,0.754684,3.9048
0.5,800,200,400,solar_min,0,0,0,1,1,0,1,0.66095,0,100.34,24042.6,3.98029,28.1263,8.61863
0.5,800,200,400,nominal,0,0.66635,0,1,1,1,1,0.66635,0,11,23136.3,3.95702,2.5244,8.61863
0.5,800,200,400,solar_max,0,0.6598,0,1,1,1,1,0.6598,0,1.86608,24277,3.96691,0.527413,8.61863
0.5,800,200,500,solar_min,0,0,0,1,1,0,1,0.6591,0,100.34,23713.6,2.08981,28.1263,6.99863
0.5,800,200,500,nominal,0,0.665,0,1,1,1,1,0.665,0,11,23202.5,2.08946,2.5244,6.99863
0.5,800,200,500,solar_max,0,0.6632,0,1,1,1,1,0.6632,0,1.86608,23794.5,2.09725,0.527413,6.99863
0.5,800,200,619,solar_min,0,0,0,0.9962,1,0,0.9962,0.66515,0,100.34,23684.6,1.15736,28.1263,5.77491
