error_multiple,fg01_delivered_fraction,fg01_miss_mm,laser_pointing_error_m,laser_fluence_J_cm2,laser_above_threshold,laser_delivered_fraction
2.24133,0.365563,12.9437,0.565936,0.000348109,False,0
2.3035,0.345424,13.3027,0.581633,0.000197839,False,0
2.36739,0.325354,13.6716,0.597765,0.00010892,False,0
2.43305,0.305418,14.0508,0.614344,5.79861e-05,False,0
2.50053,0.285682,14.4406,0.631384,2.9795e-05,False,0
2.56988,0.266217,14.8411,0.648896,1.47468e-05,False,0
2.64116,0.247093,15.2527,0.666894,7.01575e-06,False,0
2.71442,0.22838,15.6758,0.68539,3.20115e-06,False,0
2.7897,0.210149,16.1105,0.7044,1.39757e-06,False,0
2.86708,0.192467,16.5574,0.723938,5.82366e-07,False,0
2.9466,0.175401,17.0166,0.744017,2.31014e-07,False,0
3.02833,0.159012,17.4886,0.764653,8.69952e-08,False,0
3.11232,0.143358,17.9737,0.785861,3.10098e-08,False,0
3.19864,0.128492,18.4722,0.807658,1.04305e-08,False,0
3.28736,0.114457,18.9845,0.830059,3.2999e-09,False,0
3.37854,0.101291,19.5111,0.853081,9.78557e-10,False,0
3.47225,0.0890222,20.0522,0.876742,2.71007e-10,False,0
3.56855,0.077671,20.6084,0.90106,6.98256e-11,False,0
3.66753,0.0672467,21.18,0.926051,1.66696e-11,False,0
3.76925,0.0577489,21.7674,0.951736,3.67153e-12,False,0
3.8738,0.0491674,22.3712,0.978134,7.42704e-13,False,0
3.98124,0.0414819,22.9917,1.00526,1.37325e-13,False,0
4.09166,0.0346627,23.6294,1.03315,2.30917e-14,False,0
4.20515,0.0286716,24.2847,1.0618,3.5125e-15,False,0
4.32178,0.0234626,24.9583,1.09125,4.80594e-16,False,0
4.44165,0.0189832,25.6505,1.12152,5.87974e-17,False,0
4.56485,0.0151758,26.362,1.15262,6.39178e-18,False,0
4.69146,0.0119791,27.0932,1.18459,6.13316e-19,False,0
4.82158,0.00932991,27.8446,1.21745,5.15818e-20,False,0
4.95531,0.00716433,28.6169,1.25122,3.77432e-21,False,0
5.09275,0.00541962,29.4106,1.28592,2.38402e-22,False,0
5.234,0.0040354,30.2264,1.32159,1.2892e-23,False,0
5.37917,0.00295486,31.0647,1.35824,5.91658e-25,False,0
5.52837,0.00212571,31.9263,1.39591,2.28327e-26,False,0
5.6817,0.0015009,32.8118,1.43463,7.33747e-28,False,0
5.83929,0.00103899,33.7219,1.47442,1.94342e-29,False,0
6.00125,0.000704369,34.6572,1.51532,4.19658e-31,False,0
6.1677,0.000467082,35.6185,1.55734,7.30375e-33,False,0
6.33877,0.000302583,36.6064,1.60054,1.01216e-34,False,0
6.51458,0.000191237,37.6217,1.64493,1.10265e-36,False,0
6.69527,0.000117751,38.6652,1.69055,9.31611e-39,False,0
6.88097,7.05304e-05,39.7376,1.73744,6.01774e-41,False,0
7.07182,4.10314e-05,40.8397,1.78563,2.92735e-43,False,0
7.26796,2.31453e-05,41.9725,1.83516,1.05544e-45,False,0
7.46954,1.26371e-05,43.1366,1.88606,2.77327e-48,False,0
7.67672,6.66595e-06,44.3331,1.93837,5.21703e-51,False,0
7.88964,3.39037e-06,45.5627,1.99213,6.89549e-54,False,0
8.10847,1.65919e-06,46.8264,2.04739,6.27765e-57,False,0
8.33336,7.79565e-07,48.1252,2.10417,3.85489e-60,False,0
8.5645,3.50834e-07,49.46,2.16254,1.56168e-63,False,0
8.80204,1.50859e-07,50.8318,2.22252,4.07736e-67,False,0
9.04617,6.18205e-08,52.2417,2.28416,6.69333e-71,False,0
9.29708,2.4076e-08,53.6906,2.34751,6.73049e-75,False,0
9.55494,8.8851e-09,55.1798,2.41262,4.03294e-79,False,0
9.81996,3.09762e-09,56.7103,2.47954,1.39869e-83,False,0
10.0923,1.01687e-09,58.2832,2.54831,2.72265e-88,False,0
10.3722,3.13242e-10,59.8997,2.61899,2.87956e-93,False,0
10.6599,9.02172e-11,61.5611,2.69163,1.5989e-98,False,0
10.9556,2.42005e-11,63.2685,2.76629,4.49512e-104,False,0
11.2595,6.02165e-12,65.0234,2.84301,6.15832e-110,False,0
11.5717,1.38388e-12,66.8268,2.92187,3.94843e-116,False,0
